NANOG,Q9H9S0,79923,transcription factor and target gene,Yes,14315
PPARG,P37231,5468,transcription factor and target gene,Yes,16825
MYB,P10242,4602,transcription factor and target gene,Yes,14945
HOXA9,P31269,3205,transcription factor and target gene,Yes,2830
ESR1,P03372,2099,transcription factor and target gene,Yes,19489
TP53,P04637,7157,transcription factor and target gene,Yes,17585
RARG,P13631,5916,transcription factor and target gene,Yes,4577
ATF1,P18846,466,transcription factor and target gene,Yes,13990
SMAD7,O15105,4092,transcription factor and target gene,Yes,621
ZNF823,P16415,55552,transcription factor and target gene,Yes,6615
YY1,P25490,7528,transcription factor and target gene,Yes,17607
MEF2C,Q06413,4208,transcription factor and target gene,Yes,2500
NR3C1,P04150,2908,transcription factor and target gene,Yes,17253
AR,P10275,367,transcription factor and target gene,Yes,18826
PTF1A,Q7RTS3,256297,transcription factor and target gene,Yes,92
SP1,P08047,6667,transcription factor and target gene,Yes,17645
RELA,Q04206,5970,transcription factor and target gene,Yes,18509
RUNX1,Q01196,861,transcription factor and target gene,Yes,18652
TCF7L2,Q9NQB0,6934,transcription factor and target gene,Yes,14021
SMARCC1,Q92922,6599,transcription factor and target gene,Yes,16539
E2F1,Q01094,1869,transcription factor and target gene,Yes,16860
MYC,P01106,4609,transcription factor and target gene,Yes,18768
CEBPB,P17676,1051,transcription factor and target gene,Yes,17540
MEN1,O00255,4221,transcription factor and target gene,Yes,6550
SOX10,P56693,6663,transcription factor and target gene,Yes,387
NR1I2,O75469,8856,transcription factor and target gene,Yes,678
SMAD4,Q13485,4089,transcription factor and target gene,Yes,12461
BACH2,Q9BYV9,60468,transcription factor and target gene,Yes,2961
HIF3A,Q9Y2N7,64344,transcription factor and target gene,Yes,8592
ATF2,P15336,1386,transcription factor and target gene,Yes,12146
TFAP2A,P05549,7020,transcription factor and target gene,Yes,14487
CIITA,P33076,4261,transcription factor and target gene,Yes,1511
HOXA10,P31260,3206,transcription factor and target gene,Yes,543
NFYA,P23511,4800,transcription factor and target gene,Yes,16240
NFKBIB,Q15653,4793,transcription factor and target gene,Yes,528
CREM,Q03060,1390,transcription factor and target gene,Yes,13941
E2F4,Q16254,1874,transcription factor and target gene,Yes,13924
DAND5,Q8N907,199699,transcription factor and target gene,Yes,13121
FLI1,Q01543,2313,transcription factor and target gene,Yes,17401
EGR2,P11161,1959,transcription factor and target gene,Yes,13245
PAX8,Q06710,7849,transcription factor and target gene,Yes,2397
HIF1A,Q16665,3091,transcription factor and target gene,Yes,17032
CREB1,P16220,1385,transcription factor and target gene,Yes,17406
ERG,P11308,2078,transcription factor and target gene,Yes,18315
LMO2,P25791,4005,transcription factor and target gene,Yes,7916
NFIC,P08651,4782,transcription factor and target gene,Yes,11238
CTNNB1,P35222,1499,transcription factor and target gene,Yes,3678
ETS1,P14921,2113,transcription factor and target gene,Yes,16484
KCNH2,Q12809,3757,transcription factor and target gene,Yes,14906
PPARA,Q07869,5465,transcription factor and target gene,Yes,555
GATA2,P23769,2624,transcription factor and target gene,Yes,18294
USF1,P22415,7391,transcription factor and target gene,Yes,15386
GLI1,P08151,2735,transcription factor and target gene,Yes,653
SPI1,P17947,6688,transcription factor and target gene,Yes,17343
ZFP36L1,Q07352,677,transcription factor and target gene,Yes,653
FOXO3,O43524,2309,transcription factor and target gene,Yes,6838
BTN3A2,P78410,11118,transcription factor and target gene,Yes,258
PAX6,P26367,5080,transcription factor and target gene,Yes,2160
RFX5,P48382,5993,transcription factor and target gene,Yes,10149
WT1,P19544,7490,transcription factor and target gene,Yes,10095
SMAD3,P84022,4088,transcription factor and target gene,Yes,15350
STAT1,P42224,6772,transcription factor and target gene,Yes,15711
NFE2L2,Q16236,4780,transcription factor and target gene,Yes,12008
ARNT,P27540,405,transcription factor and target gene,Yes,15859
TP63,Q9H3D4,8626,transcription factor and target gene,Yes,16248
NFKB1,P19838,4790,transcription factor and target gene,Yes,14993
TBX21,Q9UL17,30009,transcription factor and target gene,Yes,12004
WDR5,P61964,11091,transcription factor and target gene,Yes,8457
NHLH2,Q02577,4808,transcription factor and target gene,Yes,70
MITF,O75030,4286,transcription factor and target gene,Yes,15412
EZH2,Q15910,2146,transcription factor and target gene,Yes,17086
DEK,P35659,7913,transcription factor and target gene,Yes,9527
MBD4,O95243,8930,transcription factor and target gene,Yes,17001
SREBF2,Q12772,6721,transcription factor and target gene,Yes,11901
POU5F1,Q01860,5460,transcription factor and target gene,Yes,17084
FOS,P01100,2353,transcription factor and target gene,Yes,15982
ETS2,P15036,2114,transcription factor and target gene,Yes,950
POU2F1,P14859,5451,transcription factor and target gene,Yes,7723
PLAGL1,Q9UM63,5325,transcription factor and target gene,Yes,374
E2F2,Q14209,1870,transcription factor and target gene,Yes,1959
NFKB2,Q00653,4791,transcription factor and target gene,Yes,11430
IRF1,P10914,3659,transcription factor and target gene,Yes,13336
GATA3,P23771,2625,transcription factor and target gene,Yes,15523
CEBPA,P49715,1050,transcription factor and target gene,Yes,16848
FOXO1,Q12778,2308,transcription factor and target gene,Yes,13484
MYOD1,P15172,4654,transcription factor and target gene,Yes,13864
NCOR1,O75376,9611,transcription factor and target gene,Yes,13924
GLI2,P10070,2736,transcription factor and target gene,Yes,3723
PIAS1,O75925,8554,transcription factor and target gene,Yes,7083
RBPJ,Q06330,3516,transcription factor and target gene,Yes,15236
JUN,P05412,3725,transcription factor and target gene,Yes,17331
GPIHBP1,Q8IV16,338328,transcription factor and target gene,Yes,8275
GATA1,P15976,2623,transcription factor and target gene,Yes,15624
RUNX3,Q13761,864,transcription factor and target gene,Yes,10232
ATF6,P18850,22926,transcription factor and target gene,Yes,1525
KDM5B,Q9UGL1,10765,transcription factor and target gene,Yes,16573
IRF9,Q00978,10379,transcription factor and target gene,Yes,1505
MAX,P61244,4149,transcription factor and target gene,Yes,18129
SP3,Q02447,6670,transcription factor and target gene,Yes,7043
ELF1,P32519,1997,transcription factor and target gene,Yes,16762
TCF7,P36402,6932,transcription factor and target gene,Yes,4026
TEF,Q10587,7008,transcription factor and target gene,Yes,496
KLF10,Q13118,7071,transcription factor and target gene,Yes,9307
PARP1,P09874,142,transcription factor and target gene,Yes,6046
NFIA,Q12857,4774,transcription factor and target gene,Yes,5224
ZHX2,Q9Y6X8,22882,transcription factor and target gene,Yes,12454
NFATC1,O95644,4772,transcription factor and target gene,Yes,12435
SFPQ,P23246,6421,transcription factor and target gene,Yes,9395
JUND,P17535,3727,transcription factor and target gene,Yes,16278
HNF1A,P20823,6927,transcription factor and target gene,Yes,2002
DBP,Q10586,1628,transcription factor and target gene,Yes,1938
MBD1,Q9UIS9,4152,transcription factor and target gene,Yes,2954
TRPS1,Q9UHF7,7227,transcription factor and target gene,Yes,17766
RXRA,P19793,6256,transcription factor and target gene,Yes,16008
CDC5L,Q99459,988,transcription factor and target gene,Yes,640
NR4A1,P22736,3164,transcription factor and target gene,Yes,8686
LCOR,Q96JN0,84458,transcription factor and target gene,Yes,483
MYCN,P04198,4613,transcription factor and target gene,Yes,16717
RARB,P10826,5915,transcription factor and target gene,Yes,334
KLF4,O43474,9314,transcription factor and target gene,Yes,16084
FHL2,Q14192,2274,transcription factor and target gene,Yes,445
NSD2,O96028,7468,transcription factor and target gene,Yes,3215
USF2,Q15853,7392,transcription factor and target gene,Yes,14070
HOXA1,P49639,3198,transcription factor and target gene,Yes,1429
HOXC10,Q9NYD6,3226,transcription factor and target gene,Yes,378
TCF7L1,Q9HCS4,83439,transcription factor and target gene,Yes,14122
CITED2,Q99967,10370,transcription factor and target gene,Yes,653
ZNF382,Q96SR6,84911,transcription factor and target gene,Yes,2351
EGR1,P18146,1958,transcription factor and target gene,Yes,16208
SOX2,P48431,6657,transcription factor and target gene,Yes,12874
EHMT2,Q96KQ7,10919,transcription factor and target gene,Yes,9293
NKX2-5,P52952,1482,transcription factor and target gene,Yes,1518
STAT5A,P42229,6776,transcription factor and target gene,Yes,13579
ELK1,P19419,2002,transcription factor and target gene,Yes,7086
MTA3,Q9BTC8,57504,transcription factor and target gene,Yes,12017
TWIST1,Q15672,7291,transcription factor and target gene,Yes,8174
KLF6,Q99612,1316,transcription factor and target gene,Yes,13386
ING1,Q9UK53,3621,transcription factor and target gene,Yes,636
POU2F2,P09086,5452,transcription factor and target gene,Yes,13612
YBX1,P67809,4904,transcription factor and target gene,Yes,6390
CEBPZ,Q03701,10153,transcription factor and target gene,Yes,2585
GABPB1,Q06547,2553,transcription factor and target gene,Yes,11875
BCL6,P41182,604,transcription factor and target gene,Yes,14853
IRF8,Q02556,3394,transcription factor and target gene,Yes,311
THRA,P10827,7067,transcription factor and target gene,Yes,356
SOX9,P48436,6662,transcription factor and target gene,Yes,8793
SIRT1,Q96EB6,23411,transcription factor and target gene,Yes,7075
ATF3,P18847,467,transcription factor and target gene,Yes,15529
CREBBP,Q92793,1387,transcription factor and target gene,Yes,14211
ETV4,P43268,2118,transcription factor and target gene,Yes,9821
SOX4,Q06945,6659,transcription factor and target gene,Yes,6827
LHX4,Q969G2,89884,transcription factor and target gene,Yes,331
HDAC5,Q9UQL6,10014,transcription factor and target gene,Yes,651
PGR,P06401,5241,transcription factor and target gene,Yes,17145
STAT3,P40763,6774,transcription factor and target gene,Yes,16371
MBD2,Q9UBB5,8932,transcription factor and target gene,Yes,7265
LEF1,Q9UJU2,51176,transcription factor and target gene,Yes,7711
BRCA1,P38398,672,transcription factor and target gene,Yes,12531
SNAI2,O43623,6591,transcription factor and target gene,Yes,11934
NFE2,Q16621,4778,transcription factor and target gene,Yes,15953
TCFL5,Q9UL49,10732,transcription factor and target gene,Yes,473
RARA,P10276,5914,transcription factor and target gene,Yes,14881
NEUROG3,Q9Y4Z2,50674,transcription factor and target gene,Yes,211
RFX1,P22670,5989,transcription factor and target gene,Yes,8577
STAT2,P52630,6773,transcription factor and target gene,Yes,5428
IKZF1,Q13422,10320,transcription factor and target gene,Yes,13446
HLF,Q16534,3131,transcription factor and target gene,Yes,2950
DNMT1,P26358,1786,transcription factor and target gene,Yes,822
TWIST2,Q8WVJ9,117581,transcription factor and target gene,Yes,173
CDX1,P47902,1044,transcription factor and target gene,Yes,161
PIAS2,O75928,9063,transcription factor and target gene,Yes,362
NR5A1,Q13285,2516,transcription factor and target gene,Yes,218
DLX5,P56178,1749,transcription factor and target gene,Yes,180
TFAP4,Q01664,7023,transcription factor and target gene,Yes,15496
HMGA2,P52926,8091,transcription factor and target gene,Yes,467
SALL4,Q9UJQ4,57167,transcription factor and target gene,Yes,1872
TSC22D3,Q99576,1831,transcription factor and target gene,Yes,404
PAX4,O43316,-,transcription factor and target gene,Yes,70
RFXANK,O14593,8625,transcription factor and target gene,Yes,5478
SREBF1,P36956,6720,transcription factor and target gene,Yes,7042
TAL1,P17542,6886,transcription factor and target gene,Yes,17131
NCOR2,Q9Y618,9612,transcription factor and target gene,Yes,8979
ID2,Q02363,3398,transcription factor and target gene,Yes,1589
CTCF,P49711,10664,transcription factor and target gene,Yes,19771
SMAD2,Q15796,4087,transcription factor and target gene,Yes,14982
HNF4A,P41235,3172,transcription factor and target gene,Yes,15406
PPARD,Q03181,5467,transcription factor and target gene,Yes,2360
PAX2,Q02962,5076,transcription factor and target gene,Yes,299
MAF,O75444,4094,transcription factor and target gene,Yes,13423
NFIL3,Q16649,4783,transcription factor and target gene,Yes,8021
NFYC,Q13952,4802,transcription factor and target gene,Yes,8672
MYBL2,P10244,4605,transcription factor and target gene,Yes,4937
FOXM1,Q08050,2305,transcription factor and target gene,Yes,13805
KDM4B,O94953,23030,transcription factor and target gene,Yes,8890
LRRFIP1,Q32MZ4,9208,transcription factor and target gene,Yes,387
MEF2A,Q02078,4205,transcription factor and target gene,Yes,5393
RFXAP,O00287,5994,transcription factor and target gene,Yes,332
PCGF2,P35227,7703,transcription factor and target gene,Yes,2797
FOSB,P53539,2354,transcription factor and target gene,Yes,3254
SMAD5,Q99717,4090,transcription factor and target gene,Yes,11403
ATF4,P18848,468,transcription factor and target gene,Yes,3924
HDAC3,O15379,8841,transcription factor and target gene,Yes,2331
STAT6,P42226,6778,transcription factor and target gene,Yes,4669
POU3F1,Q03052,5453,transcription factor and target gene,Yes,328
PAX5,Q02548,5079,transcription factor and target gene,Yes,13765
HDAC2,Q92769,3066,transcription factor and target gene,Yes,16595
XBP1,P17861,7494,transcription factor and target gene,Yes,11784
TLE3,Q04726,7090,transcription factor and target gene,Yes,2429
HDAC1,Q13547,3065,transcription factor and target gene,Yes,13594
PHOX2A,O14813,401,transcription factor and target gene,Yes,136
UPF1,Q92900,5976,transcription factor and target gene,Yes,524
PIAS4,Q8N2W9,51588,transcription factor and target gene,Yes,590
PTTG1,O95997,9232,transcription factor and target gene,Yes,705
SRF,P11831,6722,transcription factor and target gene,Yes,14219
PML,P29590,5371,transcription factor and target gene,Yes,10810
HDAC7,Q8WUI4,51564,transcription factor and target gene,Yes,580
TRIM22,Q8IYM9,10346,transcription factor and target gene,Yes,9335
PBX2,P40425,5089,transcription factor and target gene,Yes,3854
FOXA2,Q9Y261,3170,transcription factor and target gene,Yes,18493
MSX1,P28360,4487,transcription factor and target gene,Yes,568
CEBPE,Q15744,1053,transcription factor and target gene,Yes,320
DDB2,Q92466,1643,transcription factor and target gene,Yes,506
E2F3,O00716,1871,transcription factor and target gene,Yes,5486
FOSL1,P15407,8061,transcription factor and target gene,Yes,6489
GTF2A1,P52655,2957,transcription factor and target gene,Yes,594
GATA4,P43694,2626,transcription factor and target gene,Yes,14531
PER1,O15534,5187,transcription factor and target gene,Yes,650
RELB,Q01201,5971,transcription factor and target gene,Yes,11829
SMAD1,Q15797,4086,transcription factor and target gene,Yes,13123
SCD5,Q86SK9,79966,transcription factor and target gene,Yes,245
ZEB1,P37275,6935,transcription factor and target gene,Yes,14764
BTN3A3,O00478,10384,transcription factor and target gene,Yes,219
NFYB,P25208,4801,transcription factor and target gene,Yes,7797
SATB1,Q01826,6304,transcription factor and target gene,Yes,570
KLF15,Q9UIH9,28999,transcription factor and target gene,Yes,9848
ETV6,P41212,2120,transcription factor and target gene,Yes,6486
MAFB,Q9Y5Q3,9935,transcription factor and target gene,Yes,6010
HMGN1,P05114,3150,transcription factor and target gene,Yes,539
DNMT3A,Q9Y6K1,1788,transcription factor and target gene,Yes,1128
MAML1,Q92585,9794,transcription factor and target gene,Yes,764
LMX1B,O60663,4010,transcription factor and target gene,Yes,271
HIC1,Q14526,3090,transcription factor and target gene,Yes,4315
NCOA1,Q15788,8648,transcription factor and target gene,Yes,12881
FOXP2,O15409,93986,transcription factor and target gene,Yes,8922
MTF1,Q14872,4520,transcription factor and target gene,Yes,529
HSF1,Q00613,3297,transcription factor and target gene,Yes,15600
PAX3,P23760,5077,transcription factor and target gene,Yes,1450
HIPK2,Q9H2X6,28996,transcription factor and target gene,Yes,391
VDR,P11473,7421,transcription factor and target gene,Yes,12622
HMGA1,P17096,3159,transcription factor and target gene,Yes,1402
WWTR1,Q9GZV5,25937,transcription factor and target gene,Yes,496
FOXA1,P55317,3169,transcription factor and target gene,Yes,18600
PROX1,Q92786,5629,transcription factor and target gene,Yes,4351
PITX1,P78337,5307,transcription factor and target gene,Yes,761
TP73,O15350,7161,transcription factor and target gene,Yes,2858
ESRRA,P11474,2101,transcription factor and target gene,Yes,11179
HOXB4,P17483,3214,transcription factor and target gene,Yes,1274
NPM1,P06748,4869,transcription factor and target gene,Yes,530
TFAP2C,Q92754,7022,transcription factor and target gene,Yes,16344
ELF3,P78545,1999,transcription factor and target gene,Yes,13819
MECP2,P51608,4204,transcription factor and target gene,Yes,3086
FOXO4,P98177,4303,transcription factor and target gene,Yes,699
RB1,P06400,5925,transcription factor and target gene,Yes,11459
SRSF1,Q07955,6426,transcription factor and target gene,Yes,608
PIR,O00625,8544,transcription factor and target gene,Yes,344
ING4,Q9UNL4,51147,transcription factor and target gene,Yes,545
BTF3,P20290,689,transcription factor and target gene,Yes,494
HOXA5,P20719,3202,transcription factor and target gene,Yes,4690
KLF2,Q9Y5W3,10365,transcription factor and target gene,Yes,349
ESR2,Q92731,2100,transcription factor and target gene,Yes,3756
PRDM1,O75626,639,transcription factor and target gene,Yes,5927
ELL,P55199,8178,transcription factor and target gene,Yes,653
DNMT3L,Q9UJW3,29947,transcription factor and target gene,Yes,78
