UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
O75391	9552	SPAG7	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P51587	675	BRCA2	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
P06732	1158	CKM	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q96B42	129787	TMEM18	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
O75167	9749	PHACTR2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9GZV8	63978	PRDM14	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P17787	1141	CHRNB2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
O95864	9415	FADS2	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q9H4M9	10938	EHD1	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q8N5H3	23625	FAM89B	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9NWD8	55069	TMEM248	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q8N3E9	113026	PLCD3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8WXX7	26053	AUTS2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
O15247	1193	CLIC2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9Y478	5564	PRKAB1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9Y5Z0	25825	BACE2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
A0A0U1RQV1	NA	ERVK3-1	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
P05166	5096	PCCB	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q9BV87	27013	CNPPD1	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
F2Z333	643988	FNDC10	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q5T2D2	79865	TREML2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96L92	81609	SNX27	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P51798	1186	CLCN7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q5T4S7	23352	UBR4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q7LGA3	9653	HS2ST1	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q96D53	79934	COQ8B	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q6ZUI0	285386	TPRG1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q15782	1117	CHI3L2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q5VST6	51104	ABHD17B	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
P34059	2588	GALNS	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
P49761	1198	CLK3	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
A0A1B0GVY2	NA	-	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q96MH6	137695	TMEM68	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
A0A1B0GU92	NA	-	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q96IV6	10826	FAXDC2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O14802	11128	POLR3A	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
P54756	2044	EPHA5	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P10082	5697	PYY	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P35221	1495	CTNNA1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q96HV5	90407	TMEM41A	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P30041	9588	PRDX6	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q8TCT6	121665	SPPL3	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q9UPR3	23381	SMG5	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q5HYJ3	143684	FAM76B	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
A6NDU8	285636	C5orf51	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q7Z769	55508	SLC35E3	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
O15357	3636	INPPL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q6ZMT4	80853	KDM7A	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P29376	4058	LTK	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q13336	6563	SLC14A1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8N5I2	92714	ARRDC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P49335	5456	POU3F4	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q8N1W2	374655	ZNF710	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
