UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
C6TP13	NA	CHES-1-like-RA	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A2VEH0	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A8WHE1	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VTJ8	39294	Tim14	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W3V1	31630	Cht11	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VGT8	53507	Ugt35C1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A8DYB1	5740811	Dmel\CG34231	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VH72	41197	BVR	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VDE2	42505	Dmel\CG5793	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W2E4	37470	PIG-M	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9V3L6	42166	Cbp20	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7K4M9	37199	anon-EST:fe1H12	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VQZ7	33650	MFS18	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P20482	42743	cnc	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VC63	42928	Dmel\CG5789	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
D6W4Q3	12798574	Dmel\CG43389	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W1E8	43943	or	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VBW0	43029	Dmel\CG13663	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A0AQH0	46058	Prosbeta1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P25992	43439	yem	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7JQU5	35778	Dmel\CG8712	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
B5RJ09	NA	CG15653-RA	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
C8VV61	NA	Idh-RC	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
B3DNJ4	NA	CG34032-RA	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VWB1	40231	SCCRO4	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8SYY4	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VHI7	41080	Iru	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
X2JGK6	39336	Dmel\CG5946	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VU13	39453	EP(3)3622	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7KTC0	34686	MRP	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VZS5	38397	RpL28	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7KTS2	40700	Atg17	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q4QQ01	36034	Pdrg1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VL00	34384	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VCI7	42804	RanBP3	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q5U124	35828	Mal-A5	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VEM0	42079	Dmel\CG5292	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
C3KGJ2	NA	CHES-1-like-RB	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7KSD3	44233	fray	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7K549	36072	mlt	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VP22	40385	Cdk12	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P45891	36879	Arp53D	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A9YIM1	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q1EC44	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8SYL9	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A9YIL7	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VTU2	46260	ND-SGDH	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7JRJ9	35649	Incenp	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VAJ9	43483	Dmel\CG1907	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
E1NZE1	NA	CG17667-RB	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7K0W0	36689	Dmel\CG8079	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9V784	36675	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A8DYI9	37199	anon-EST:fe1H12	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VK31	34710	Dmel\CG5439	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
E4NKH1	NA	Gp150-RC	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
