UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
P40764	13392	Dlx2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P56384	228033	Atp5mc3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
G3X928	207352	Sec23ip	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9Z2D1	77116	Mtmr2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8C8J0	381476	Stpg2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q6ZWZ6	20042	Rps12	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BJY1	66998	Psmd5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8C8Y3	NA	A930002H24Rik	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P35980	19899	Rpl18	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
E9Q4F2	270201	Klhl18	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q61069	22278	Usf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9EQ61	64934	Pes1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
A0A140T8R4	214505	Gnptg	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q99KU6	80748	-	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9WV89	20913	Stxbp4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CQ28	66632	Dph6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
G3X9T5	67120	Ttc14	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
E9Q777	219181	Akap11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
G3X9F1	27392	Pign	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P53612	19352	Rabggtb	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CXW4	67025	Rpl11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P59470	70428	Polr3b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3UJB0	319322	Sf3b2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P62858	54127	Rps28	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3U5H1	110326	Tas1r1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CQT5	66537	Pomp	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q99KI0	11429	Aco2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9D709	71913	Tmem79	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9D832	67035	Dnajb4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q80VM7	70615	Ankrd24	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8K2P6	218341	Rfesd	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q99KG7	192232	Hps4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9D305	66816	Thap2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9DCG6	68371	Pbld1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q60739	12017	Bag1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3TE80	668661	2410002F23Rik	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3UTW2	NA	A530084C06Rik	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
G5E866	81898	Sf3b1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
B1ARW8	68920	-	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CW79	76899	Golga1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9D850	72098	Tmem68	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3US59	NA	Gm28047	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q4G5Y1	69554	Klhdc2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8CI61	67384	Bag4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
E9Q286	218333	Ice1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
E9PUA2	214290	Tut7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9JHB4	71354	Wdr31	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
E9Q1G8	235072	Septin7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CQ82	67733	Itgb3bp	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9JI19	58249	Fibp	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9ERI6	105014	Rdh14	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9WUM5	56451	Suclg1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9DAG9	71838	Phf7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
D3Z4Z0	231151	Tada2b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9R1P3	26445	Psmb2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
