UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
Q13485	4089	SMAD4	chromatin immunoprecipitation assay,inferred by curator	29087512,27924024,19525977	Homo sapiens	GTRD,TRRUST	Yes
Q99743	4862	NPAS2	inferred by curator	29087512,14645221	Homo sapiens	TRRUST	Yes
P38936	1026	CDKN1A	chromatin immunoprecipitation assay,inferred by curator	29087512,27924024,19525977	Homo sapiens	GTRD,TRRUST	Yes
P24941	1017	CDK2	inferred by curator	29087512,19525977	Homo sapiens	TRRUST	Yes
Q92985	3665	IRF7	inferred by curator	12374802,29087512	Homo sapiens	TRRUST	Yes
P37275	6935	ZEB1	inferred by curator	29087512,22384255	Homo sapiens	TRRUST	Yes
P25490	7528	YY1	inferred by curator	11486036,29087512	Homo sapiens	TRRUST	Yes
Q16678	1545	CYP1B1	inferred by curator	20631054,29087512	Homo sapiens	TRRUST	Yes
Q9H9Z2	79727	LIN28A	inferred by curator	24631505,29087512	Homo sapiens	TRRUST	Yes
P46527	1027	CDKN1B	inferred by curator	29087512,19525977	Homo sapiens	TRRUST	Yes
O15516	9575	CLOCK	inferred by curator	29087512,14645221	Homo sapiens	TRRUST	Yes
P06400	5925	RB1	inferred by curator	29087512,19525977	Homo sapiens	TRRUST	Yes
O15350	7161	TP73	inferred by curator	19188449,29087512	Homo sapiens	TRRUST	Yes
Q9NWU2	54994	GID8	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q2T9L4	388135	INSYN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9BSW2	84766	CRACR2A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P06730	1977	EIF4E	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96H55	80179	MYO19	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96SK2	84928	TMEM209	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9BQ49	79086	SMIM7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
E9PLD3	NA	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9HCU4	1952	CELSR2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9UNN8	10544	PROCR	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q13325	24138	IFIT5	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q96RK1	163732	CITED4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8NBM4	337867	UBAC2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q7Z4F1	26020	LRP10	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9Y2H0	22839	DLGAP4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P55199	8178	ELL	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
S4R3T0	NA	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P50402	2010	EMD	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q9NRR5	56893	UBQLN4	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q15758	6510	SLC1A5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O75477	10613	ERLIN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9NY64	29988	SLC2A8	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9Y375	51103	NDUFAF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q5VTT5	127294	MYOM3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q96C28	286075	ZNF707	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q13637	10981	RAB32	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
O14901	8462	KLF11	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
