UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
Q8JZV7	245847	Amdhd2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9EQB9	170740	Znf287	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q91YR7	68879	Prpf6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9ERE2	64818	Krt81	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q91ZU0	117589	Asb7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
A0A0R4J012	105005	Lratd1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q05186	19672	Rcn1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8C5H1	320091	Ano4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BH74	103468	Nup107	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q60722	21413	Tcf4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q922I7	19205	Ptbp1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q14AF1	71138	Tmem217	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q6PIX9	276852	D11Wsu47e	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BFT9	68666	Svop	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3U5C8	230972	Arhgef16	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9D600	272551	Gins2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BM88	229445	Ctso	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9DC53	66871	Cpne8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P61082	22192	Ube2m	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8VBY2	55984	Camkk1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
D3Z0P8	623230	Tmem200b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q91ZD4	93840	Vangl2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BJI1	229706	Slc6a17	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3TP92	67181	Ctdnep1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q6ZPI0	269424	Jade1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P40142	21881	Tkt	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q6NZP4	74670	Zfp943	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8C5W4	240069	Morc2b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
F8VPQ4	259302	Srgap3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q64336	21375	Tbr1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
O35857	21856	Timm44	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CQ25	72083	Mzt2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
O35242	18201	Nsmaf	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9QZS8	27387	Sh2d3c	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
