UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
P01344	3481	IGF2	inferred by curator	29087512,19666599	Homo sapiens	TRRUST	Yes
Q15047	9869	SETDB1	inferred by curator	17066076,15327775,29087512	Homo sapiens	TRRUST	Yes
P16455	4255	MGMT	inferred by curator	15657354,29087512	Homo sapiens	TRRUST	Yes
P08183	5243	ABCB1	inferred by curator	29087512,17667922	Homo sapiens	TRRUST	Yes
Q02556	3394	IRF8	inferred by curator	19074829,29087512	Homo sapiens	TRRUST	Yes
P03372	2099	ESR1	inferred by curator	15746193,20211142	Homo sapiens	FANTOM4_via_DoRothEA	Yes
P09917	240	ALOX5	inferred by curator	29087512,19781662	Homo sapiens	TRRUST	Yes
Q9Y375	51103	NDUFAF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9NQR4	56954	NIT2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
B2RUY7	402117	VWC2L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P01023	2	A2M	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9Y6I3	29924	EPN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9NXV2	54442	KCTD5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O14901	8462	KLF11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9NZE8	51318	MRPL35	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96A26	26355	FAM162A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P15260	3459	IFNGR1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9NZH0	51704	GPRC5B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P61769	567	B2M	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P23415	2741	GLRA1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P15036	2114	ETS2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O15355	5496	PPM1G	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9C0A1	85446	ZFHX2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96MW7	200765	TIGD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q7Z6V5	134637	ADAT2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q08629	6695	SPOCK1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q4G0N7	619208	FAM229B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9P265	57609	DIP2B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9BV94	55741	EDEM2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O75486	8464	SUPT3H	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
A0A087WT57	NA	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9C005	84661	DPY30	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q6P1L5	150864	FAM117B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O00189	9179	AP4M1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9NWT8	54998	AURKAIP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9BT92	84260	TCHP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9P2E8	57574	MARCHF4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96EE4	90693	CCDC126	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q86W11	100101467	ZSCAN30	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
S4R438	8509	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8NHP7	161829	EXD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q5T0T0	220972	MARCHF8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
A0A096LP01	NA	SMIM26	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9BSH4	51204	TACO1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O00299	1192	CLIC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q86Z23	338761	C1QL4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9HAW0	55290	BRF2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q15776	7745	ZKSCAN8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q5EB52	4232	MEST	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96NJ3	26974	ZNF285	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O15061	23336	SYNM	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
