UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
Q9VBN7	43101	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7K2I4	39573	Dmel\CG7768	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W021	38302	mRpL23	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
M9PEM2	318872	Dm_2L:23546	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
H0RN94	NA	CG3437-RB	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7JN06	36645	BEAF-32	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A8JRB8	43102	Dmel\CG5028	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q95SA8	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VJZ3	34748	Bdp1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P55830	43768	RpS3A	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VY24	32399	anon-EST:Posey66	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VZS3	38398	eIF1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8SXJ3	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8T450	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P09208	42549	InR	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W1K5	37755	Sesn	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P26016	47220	Fur1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q5U127	39722	DCP2	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q24020	33110	fliI	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q5U0U2	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q86BN8	42807	PTPMT1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VTE8	39243	Irbp18	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q6NNA8	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A1A721	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P29845	36583	Hsc70-5	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q4V4S5	NA	CG5321	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VFB2	41838	mRpS10	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q86P92	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A0A0B4KI27	46415	Fer1HCH	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q94899	34225	alien	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VSZ4	39096	Dmel\CG3437	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
O61348	3772670	bbx	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A1A6S8	NA	CG3625	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A0A0B4KHL4	49701	gish	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8MZ22	317935	BcDNA:RE12890	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VFW4	41641	poly	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
C8VV52	NA	CG8892-RC	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VPN0	33198	Dmel\CG3625	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VJY6	34754	RpL24	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8T8S2	37644	Dmel\CG3788	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8SYY4	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
C0MKB3	NA	CG10623	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8IPL3	318872	Dmel\CG34126	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VZS5	38397	RpL28	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q5U124	35828	Mal-A5	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q24320	48312	RpII18	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9U6L4	33109	tty	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
M9MS40	43856	nej	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W2K8	37407	Hmg-2	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VPB4	40298	Dmel\CG3698	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A2VEN9	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7K0W0	36689	Dmel\CG8079	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7K4I5	33719	CG8892-RB	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q4V429	50224	Dmel\CG13018	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W020	38303	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7K1Y4	36655	Ciao1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VQ91	33401	papi	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W3C4	31808	Hexo2	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
D0IQ89	NA	BEAF-32-RA	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
E4NKL2	NA	CG4365-RC	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VLF6	50438	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VIU6	35242	Dmel\CG10165	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P07487	32545	Gapdh2	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VCD4	42857	Dmel\CG18428	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A9YKH0	NA	CG15319	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P39769	31181	ph-p	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VJZ2	34749	Dmel\CG6565	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VBU9	43039	RpS27	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
D3DMX8	36689	CG8079-RB	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VJK4	34985	Dmel\CG5953	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9V415	42806	Hrd3	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A1Z9L5	36562	Dmel\CG13016	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7JVI6	35928	GstE13	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
B3DMZ7	NA	CG9564-RA	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W089	38227	Dmel\CG13933	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A0A0B4KG11	36643	Spred	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8MT28	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VLM9	34155	15010468	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A1Z705	35685	PIG-G	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
M9PDX4	38227	dmASBa	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VRU2	38698	loj	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8T481	317826	Dmel\CG32022	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VLC1	34260	FucTB	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VUE8	39583	bbg	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VX77	32701	Chchd2	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
D5AEN3	NA	CG3625-RB	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7KTZ2	33203	Pi3K21B	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W009	38313	Dmel\CG1146	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
O77059	42305	cry	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A0A0B4KHF0	44965	Fer2LCH	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
C8VV06	NA	CG13876-RA	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q6NNW3	NA	CG9305	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7K3N1	36656	HPS1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7JQ32	40153,8674026	Gyc76C	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9Y166	41640	Dic1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
B9EQV2	NA	Fer1HCH-RB	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W0T9	38031	Dmel\CG13876	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8SXX3	NA	CG13390-RA	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
C4IXY4	NA	tai-RA	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VSP0	38997	Dmel\CG6511	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VW14	40132	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A9YKH7	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VLN0	34154	Dmel\CG13390	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W0X5	37994	Dmel\CG2765	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8T4A7	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P02518	39078	Hsp27	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
C7LAE5	31136	prage	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7K025	43053	Dmel\CG11892	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A4IJ65	NA	CG5953	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
M9ND53	34242	tai	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7JZM8	36688	mRpL41	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
D3PFH0	NA	CG34126-RB	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VYG7	32263	MFS10	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VTE9	39244	APP-BP1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
F5XVG1	NA	bbg-RC	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VFB3	41837	Art3	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q500X8	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A1A740	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
