UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
Q24311	35742	Cul1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
E5KYK8	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
O18384	NA	ORF1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q6W4F2	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
E1JIG6	8674100	BBIP1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q6W4G1	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
C6SV46	NA	CG7101-RA	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
M9MRU2	10178785	Dmel\CG42832	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VRF2	33093	unc	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W323	31907	Ptpmeg2	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
O61643	43826	Actbeta	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8IMA8	43769	pan	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
B6IDW0	NA	Oatp30B-RC	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
B3DN45	NA	CG7292-RB	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P20241	31792	Nrg	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VHE3	41122	Dmel\CG9356	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W2E1	37473	stum	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8IN49	46155	Dmel\CG31195	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VWP7	32875	Dmel\CG7101	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
B3DNJ6	NA	CG32263-RA	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P31409	41550	Vha55	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P02828	38389	Hsp83	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VYS6	32150	BcDNA:LD12750	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VWD6	32982	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VNA5	40639	Prosbeta7	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VSB9	38881	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VSD7	38900	ldbr	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
X2J8L2	34947	beat-Ia	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q6W4H2	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VES1	42027	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VSY4	39086	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VB25	43310	Klp98A	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VZM5	38446	PIG-B	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VFF2	2768669	CG3641	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8IRI7	38088	CkIIalpha-i3	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VJZ4	34747	ND-B22	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
E5KYL1	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VR05	33657	Dmel\CG15436	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
E5KYK7	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
B7YZH1	36639	Dmel\CG10151	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q59DN5	43844	Sox102F	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
E5KYL6	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
I3WE44	NA	CG5921-RB	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
D3DN02	NA	CG12159-RA	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9U4L6	44978	Tom40	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A0A0B4KGG5	42306	vib	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8T4F7	37201	ena	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
O02373	38760	sgl	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
M9PBZ2	33498	Rbp9	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
M9PI02	32846	Bx	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VPJ0	33166	CT31762	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A8DYR4	5740402	Dmel\CG34345	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q95RC3	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
E5KYL3	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W3K5	53581	Gclc	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
M9PCT6	14462714	Dmel\CG43799	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q24312	30975	ewg	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
E5KYK9	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W3M3	31713	Ubr3	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9V3C8	44052	Shc	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7K155	39367	Dmel\CG6928	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
