UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
Q9VXH3	32601	sl	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A9YJP1	NA	CG2079	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9V474	33161	dbr	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
B1PGN4	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VEN6	42061	mRpS11	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VPD4	40280	Dmel\CG5104	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
O16797	41347	RpL3	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VY78	32349	Clic	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9V3W2	34925	ND-B17	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A1Z8C0	36136	mms4	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9I7R7	59170	CG1809	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VX77	32701	Chchd2	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A1ZAV3	36986	MESR4	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8MR58	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P53034	38492	RfC4	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P36872	47877	tws	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VV75	39846	UQCR-C2	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A1Z9A8	36466	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q24547	42854	Syx1A	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
O17432	37586	Cdk9	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8SZQ2	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9V3U9	44132	slmo	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A9YJ11	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q5BI57	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VT73	39172	Dmel\CG6685	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A8DYL3	37521	Vrp1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VY87	32341	CtsB1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8WTC1	37587	bonsai	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VIP8	35289	vls	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P51023	42757	pnt	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q960U5	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VIS0	35268	cg10466	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9V6Y3	36570	mRpS16	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VDA0	42543	Fancm	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VUX2	39750	mib1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A1A6P5	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8T3I1	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VJ19	44059	RpL30	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q960G1	40564	anon-WO0118547.308	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q6W4I1	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7M3J7	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VMC7	33910	CG9545	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q95U00	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W2P5	37372	Dmel\CG9344	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q24152	34250	Cks30A	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VUV9	39737	l(3)72Ab	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q058T6	NA	CG6631	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q29R21	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
M9PGK7	38067	klar	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VT69	39168	Dmel\CG6707	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
F6J3E3	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VUY1	39759	ClC-c	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8INP9	41078	Dmel\CG11980	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VXK0	32573	Nipsnap	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VRV6	38719	Dmel\CG7386	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A8E6W0	3885643	CG34039-RA	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VMD6	33899	retm	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
