UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
O43324	9521	EEF1E1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q6UX07	147015	DHRS13	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O95278	7957	EPM2A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9Y600	51380	CSAD	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q99700	6311	ATXN2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q70UQ0	121457	IKBIP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q6QNY1	282991	BLOC1S2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q14004	8621	CDK13	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96BY2	64112	MOAP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q53GI3	84124	ZNF394	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96S06	64788	LMF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9H040	83932	SPRTN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9ULD6	27152	INTU	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O60637	10099	TSPAN3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q16538	27239	GPR162	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8N5M4	283237	TTC9C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q14641	3641	INSL4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q68DC2	203286	ANKS6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P26641	1937	EEF1G	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
H7BZW1	NA	CFAP298-TCP10L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O00203	8546	AP3B1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q01082	6711	SPTBN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9H1C4	81622	UNC93B1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8NC51	26135	SERBP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96FZ5	112616	CMTM7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9H8G2	79886	CAAP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q16560	11066	SNRNP35	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q86SQ9	79947	DHDDS	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9NPH3	3556	IL1RAP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q7Z3K3	23126	POGZ	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9H0C3	84216	TMEM117	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q6NY19	256949	KANK3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8IY22	80790	CMIP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P45974	8078	USP5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8N9N7	255252	LRRC57	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96EZ4	26579	MYEOV	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O96014	7481	WNT11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9H3U1	55898	UNC45A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9UID3	738	VPS51	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9NQW7	7511	XPNPEP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8IX21	55719	SLF2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9UK39	25819	NOCT	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q6UWB1	9466	IL27RA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9GZM5	25844	YIPF3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q12933	7186	TRAF2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9H251	64072	CDH23	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9ULV1	8322	FZD4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9HCL3	57677	ZFP14	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O00515	3898	LAD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9UNE7	10273	STUB1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9UHD2	29110	TBK1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9NP77	29101	SSU72	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q16134	2110	ETFDH	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P55209	4673	NAP1L1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q92610	9640	ZNF592	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q14114	7804	LRP8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P28749	5933	RBL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9H0R6	55278	QRSL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P50991	10575	CCT4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9Y5N5	29104	N6AMT1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P31948	10963	STIP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q69YU5	728568	BRAWNIN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9H765	140461	ASB8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9UKV0	9734	HDAC9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9UK61	23272	TASOR	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P38432	8161	COIL	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
A0AUZ9	151050	KANSL1L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9NZM3	50618	ITSN2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8NE62	55349	CHDH	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P23468	5789	PTPRD	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O60870	22944	KIN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O43847	4898	NRDC	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96S15	84219	WDR24	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P48730	1453	CSNK1D	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P11172	7372	UMPS	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P48506	2729	GCLC	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q16670	7741	ZSCAN26	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96RQ3	56922	MCCC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P09012	6626	SNRPA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q02846	3000	GUCY2D	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q92922	6599	SMARCC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96JM4	84125	LRRIQ1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8NC60	84273	NOA1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
