Uniprot ID TF,Uniprot ID target,NCBI Gene ID TF,NCBI Gene ID target,Protein name TF,Protein name target,Detection method,Publication (pubmed),Organism,Source database
P09874,P51587,142,675,PARP1,BRCA2,chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,18990703,Homo sapiens,HTRI;TRRUST
P35869,P04798,196,1543,AHR,CYP1A1,chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,17012224;19376845;21357676;9865727;8631128;10359656;12213390;24639079;12376470;15325265;16972788;17785579;9698073,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P35869,P05177,196,1544,AHR,CYP1A2,chromatin immunoprecipitation assay;inferred by curator,21357676;17785579,Homo sapiens,HTRI;TRRUST;ReMap
P35869,Q16678,196,1545,AHR,CYP1B1,chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,19287966;12376470;12801909;17785579;24299737;21742528;19376845;16115918,Homo sapiens,HTRI;TRRUST
P35869,P01100,196,2353,AHR,FOS,chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,10478842,Homo sapiens,GTRD;HTRI;TRRUST
P35869,P19224,196,54578,AHR,UGT1A6,chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,9466822,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P15309,367,55,AR,ACPP,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P68133,367,58,AR,ACTA1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,15623502;20610535,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P54107,367,167,AR,CRISP1,inferred by curator;electrophoretic mobility shift assay,11223178,Homo sapiens,HTRI;TRRUST
P10275,P47895,367,220,AR,ALDH1A3,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,17526768;20610535,Homo sapiens,GTRD;HTRI;TRRUST
P10275,P15121,367,231,AR,AKR1B1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535;18971253,Homo sapiens,GTRD;HTRI;TRED;PAZAR;ORegAnno;ReMap
P10275,P03971,367,268,AR,AMH,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P04114,367,338,AR,APOB,inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,HTRI;TRED
P10275,P07288,367,354,AR,KLK3,chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,17094454;11994312;18829551;17433535;16342680;15557561;17566103;9052414;18780293;15640095;17653089;20069563;12539223;11532861;12958311;11006269;11059779;9211894;19274665;21308712;15543614;11504717;12376473;24937452;23884959;16425097;12651911;24307657;11571582;10547578;17426252;17011549;22473899;8626436;7514587;17075604;22245379;23667504;16724108;21780100;22179832;12648523;9316650;14517289;11238180;15368351;21981678;16434977,Homo sapiens,GTRD;TRED;HTRI;TRRUST;ReMap
P10275,P10275,367,367,AR,AR,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P15514,367,374,AR,AREG,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P16615,367,488,AR,ATP2A2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P10415,367,596,AR,BCL2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,Q13887,367,688,AR,KLF5,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,19460858;20610535,Homo sapiens,GTRD;TRED;HTRI;TRRUST;ReMap
P10275,P62324,367,694,AR,BTG1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,16281084;20610535,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P42574,367,836,AR,CASP3,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,Q99741,367,990,AR,CDC6,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,24583551;20610535;18541154,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P12830,367,999,AR,CDH1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535;18794357,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P19022,367,1000,AR,CDH2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,18535113;17297473;20610535,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P55287,367,1009,AR,CDH11,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535;20191612,Homo sapiens,HTRI;TRRUST;ReMap
P10275,P55290,367,1012,AR,CDH13,inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,HTRI;TRED
P10275,Q00534,367,1021,AR,CDK6,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,15790678;20610535,Homo sapiens,GTRD;HTRI;TRRUST
