uniprotAC.tf,uniprotAC.target,otherAC.tf,otherAC.target,name.tf,name.target,detection.method,pubmedAC,organism,source.database
P52172,Q9VL05,41944,34379,srp,Hand,electrophoretic mobility shift assay,15975941;20965965,Drosophila melanogaster,REDfly
P83949,Q8MQM6,42034,-,Ubx,Cpr47Ee,electrophoretic mobility shift assay,17174297;20965965,Drosophila melanogaster,REDfly
P83949,A1Z8H6,42034,36193,Ubx,Cpr47Ee,electrophoretic mobility shift assay,17174297;20965965,Drosophila melanogaster,REDfly
P22711,P16375,42536,41491,tin,svp,electrophoretic mobility shift assay,17098220;20965965,Drosophila melanogaster,REDfly
P22711,P16376,42536,41491,tin,svp,electrophoretic mobility shift assay,17098220;20965965,Drosophila melanogaster,REDfly
P18289,M9PBJ7,36057,44030,Jra,msn,electrophoretic mobility shift assay,19641625;20965965,Drosophila melanogaster,REDfly
P18289,Q7KV89,36057,44030,Jra,msn,electrophoretic mobility shift assay,19641625;20965965,Drosophila melanogaster,REDfly
P18289,Q9W002,36057,44030,Jra,msn,electrophoretic mobility shift assay,19641625;20965965,Drosophila melanogaster,REDfly
P18289,M9PH19,36057,44030,Jra,msn,electrophoretic mobility shift assay,19641625;20965965,Drosophila melanogaster,REDfly
P18289,Q7KV88,36057,44030,Jra,msn,electrophoretic mobility shift assay,19641625;20965965,Drosophila melanogaster,REDfly
P18289,Q7KV90,36057,44030,Jra,msn,electrophoretic mobility shift assay,19641625;20965965,Drosophila melanogaster,REDfly
P52168,Q9VL05,44849,34379,pnr,Hand,electrophoretic mobility shift assay,15975941;20965965,Drosophila melanogaster,REDfly
P22810,P22810,31802,31802,oc,oc,electrophoretic mobility shift assay,19268449;20965965,Drosophila melanogaster,REDfly
P19538,P22810,43767,31802,ci,oc,electrophoretic mobility shift assay,19268449;20965965,Drosophila melanogaster,REDfly
Q8IMA8,P22810,43769,31802,pan,oc,electrophoretic mobility shift assay,19268449;20965965,Drosophila melanogaster,REDfly
