UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
Q9VIQ2	35284	CG13966	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VUE8	39583	bbg	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9N2M8	43604	hdc	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VLE4	34237	CG9584	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A9YH23	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A1Z856	36071	KCNQ	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A9YH19	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q6ILY3	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VWN1	32889	LD15404	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q5BHZ5	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
H1UUH4	NA	KCNQ-RE	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
C0PV02	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q4V5Y9	NA	CG13086	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8IRK5	246532	Dmel\CG30289	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
M9PDT0	35284	CG12508	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q0E8N2	35425	step	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7KVA8	38222	Dmel\CG13921	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A0A126GUS1	50003	CT32186	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
M9PCG4	34237	CG9585	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8MRC9	246627	Pgant9	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A8E6Q8	NA	CG32982	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8IGL3	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q86P61	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
O02373	38760	sgl	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VCN6	42753	Cdc16	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VHR2	50003	CG42286	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
D0IQG6	NA	Rgk3-RC	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A9YH20	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VTG7	39262	GlcAT-P	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
F5XVG1	NA	bbg-RC	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VHQ8	50003	anon-EST:Posey178	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A0A0B4KGJ8	41097	anon-WO0140519.182	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
F5XVH0	NA	CG15742-RC	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
B7Z028	33898	LCAD	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P46461	47091	comt	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A9YH16	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A0A0B4KHV7	42601	SKIP	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P20350	38168	rho	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
