UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
A2RUZ0	558152	sh2b1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q804G3	353365	anxa11b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q6DGH5	436801	asb13a.1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1R6L3	NA	cirbpb	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1RAB1	NA	rasd2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1Q4R3	100141327	igdcc4	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A9C4A9	NA	fance	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
P22574	30340	hoxb4a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1RD40	368439	mycbp2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q7ZZ56	368415	ptenb	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
E7F221	559410	frmd8	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1R3I8	572225	si:ch73-236c18.8	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q6NVI6	322258	cct5	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q6DEH3	445208	camk2d1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1Q6D1	NA	pgpep1l	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
B8A637	NA	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1QW26	100535812	nyap2b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A5WUQ0	NA	optn	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q1LWS5	NA	guca1a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
E7F2A4	794862	epn3a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q6P0Z4	336346	sox4a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q801V3	317764	azin1b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1RE28	560667	mtrr	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
E7F533	568718	epha2b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q6NYJ8	NA	mob1a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
E7F7B8	NA	ier2b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A0R4IBR4	393376	hif1al	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q9W7E7	30641	smad5	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A0R4IAR3	550378	rab42b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q4V8W8	793873	snip1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1Q534	404631	igsf8	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q5RGI5	560729	ppp6r2a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1QFJ6	NA	anks3	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q5RHX9	798487	cdk17	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1Q7E1	553676	mgat3a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1QWD1	571912	LOC571912	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A0R4IPK7	393880	vps4b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1Q947	327395	ndrg3b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
U3JA33	550476	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q7SXV4	30381	cyp26a1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1QZ60	334488	xrcc6	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0MGZ5	791107	hs6st1b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Z4YHZ3	NA	vrtn	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1R2J6	NA	eefsec	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1QEY8	321928	phgdh	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A2R8QHK5	NA	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
E7F5T1	NA	si:ch1073-165f9.2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
E7F318	437013	eef2k	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q5RGJ4	NA	klhl42	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
E7FEK3	799102	fam118b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1QSP8	NA	prdx4	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q1LUT2	569877	top2b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1Q4T1	558219	kif25	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q568F6	550502	adss2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
E7FDK2	492576	mylkb	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q9DF41	140613	her9	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A5WW31	563060	s100u	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A4JYQ0	368438	cntfr	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q1L966	557340	atxn1a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F8W4H9	100003330	mrap2a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A0R4IIU5	NA	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q9DE40	570746	zic2b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1QCK2	564067	abcb6a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
B0V3D1	100148329	her4.2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A0R4IC37	NA	cpsf1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q561T3	553403	kctd12.2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q05AN2	768305	mrpl21	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
E7FGL4	100003419	abhd17ab	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
