UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
P0CG63	850620	UBI4	tag visualisation by enzyme assay	9037103,24170807	Saccharomyces cerevisiae	Yeastract	Yes
P10614	856398	ERG11	chromatin immunoprecipitation array,chromatin immunoprecipitation assay,quantitative reverse transcription pcr,tag visualisation by enzyme assay	29263028,15343339,30073202,1730736,24170807	Saccharomyces cerevisiae	Yeastract	Yes
P00045	856672	CYC7	array technology,array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,chromatin immunoprecipitation assay,electrophoretic mobility shift assay,tag visualisation by enzyme assay	12112237,2509943,17785431,15343339,30073202,3030565,24170807,2823123	Saccharomyces cerevisiae	Yeastract	Yes
P12684	851171	HMG2	tag visualisation by enzyme assay	2685574,24170807	Saccharomyces cerevisiae	Yeastract	Yes
P40086	856884	COX15	chromatin immunoprecipitation array,chromatin immunoprecipitation assay,reverse transcription pcr	24170807,18953022,15343339,30073202	Saccharomyces cerevisiae	Yeastract	Yes
P00890	855732	CIT1	quantitative reverse transcription pcr	28830930,24170807	Saccharomyces cerevisiae	Yeastract	Yes
P14064	853751	HAP4	chromatin immunoprecipitation assay,quantitative reverse transcription pcr	24170807,28830930,30073202	Saccharomyces cerevisiae	Yeastract	Yes
P00175	854950	CYB2	array technology,chromatin immunoprecipitation array,chromatin immunoprecipitation assay,northern blot,tag visualisation by enzyme assay	12112237,15343339,30073202,10972830,24170807,2046677	Saccharomyces cerevisiae	Yeastract	Yes
Q00711	853709	SDH1	quantitative reverse transcription pcr	28830930,24170807	Saccharomyces cerevisiae	Yeastract	Yes
P53629	855753	ARE2	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,chromatin immunoprecipitation assay,tag visualisation by enzyme assay,western blot	17785431,15343339,30073202,24170807,11489845	Saccharomyces cerevisiae	Yeastract	Yes
P35497	853624	SOR1	quantitative reverse transcription pcr	28830930,24170807	Saccharomyces cerevisiae	Yeastract	Yes
P00044	853507	CYC1	array technology,array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,chromatin immunoprecipitation assay,tag visualisation by enzyme assay,tag visualisation by luciferase assay,ultraviolet (uv) footprinting	12112237,28830930,2509943,17785431,15343339,30073202,18239271,10972830,20008079,24170807	Saccharomyces cerevisiae	Yeastract	Yes
P07143	854231	CYT1	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,chromatin immunoprecipitation assay,electrophoretic mobility shift assay,tag visualisation by enzyme assay	1316998,17785431,15343339,1656218,30073202,23810556,24170807	Saccharomyces cerevisiae	Yeastract	Yes
