UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
P0DMW3	100129361	SMIM10L1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q8WY64	29116	MYLIP	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q15937	7633	ZNF79	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q6B0I6	55693	KDM4D	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9H095	84223	IQCG	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
V9GYD0	NA	ARL2-SNX15	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q86VY9	114801	TMEM200A	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q6WCQ1	23164	MPRIP	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q17R31	128387	TATDN3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q15836	9341	VAMP3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9NZ42	55851	PSENEN	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q8N653	8216	LZTR1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
O00258	7485	GET1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q53GQ0	51144	HSD17B12	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q92968	5194	PEX13	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q8N2C3	120863	DEPDC4	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q86UY8	51559	NT5DC3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9BQA9	79415	CYBC1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
H0YJ60	NA	-	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9NX18	54949	SDHAF2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9H2K2	80351	TNKS2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q96QU8	23214	XPO6	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9NYT0	26499	PLEK2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9P0P8	51250	MTRES1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q7Z309	159090	FAM122B	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q6P3X8	267002	PGBD2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q5VTR2	56254	RNF20	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
V9GY34	NA	-	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9BUV0	57035	RSRP1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9BU61	25915	NDUFAF3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q8N328	267004	PGBD3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9H1K1	23479	ISCU	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P54709	483	ATP1B3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q0VDD7	79173	C19orf57	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q7Z6B7	57522	SRGAP1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q14494	4779	NFE2L1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q7L4E1	84895	MIGA2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q6ZW61	166379	BBS12	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q92766	6239	RREB1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q96BP3	23398	PPWD1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
E9PP27	NA	-	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P41273	8744	TNFSF9	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
O15534	5187	PER1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q96IT1	84838	ZNF496	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P00374	1719	DHFR	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q8TD23	171392	ZNF675	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q6P1X6	414919	C8orf82	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P61970	10204	NUTF2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9Y3D5	51023	MRPS18C	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q92665	10240	MRPS31	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q96GQ7	55661	DDX27	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
A6NES4	NA	MROH2A	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P51571	6748	SSR4	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P09493	7168	TPM1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q2T9K0	93109	TMEM44	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9HD42	5119	CHMP1A	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q5BKZ1	284695	ZNF326	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q6Q0C0	84231	TRAF7	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
O75151	5253	PHF2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q03013	2948	GSTM4	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P53367	27236	ARFIP1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q12887	1352	COX10	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q70JA7	337876	CHSY3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9Y664	11133	KPTN	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P49411	7284	TUFM	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P83110	94031	HTRA3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q6PJ61	23403	FBXO46	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9Y2D4	23233	EXOC6B	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q92564	23142	DCUN1D4	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9BX73	83877	TM2D2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q68CZ1	23322	RPGRIP1L	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q7Z3B4	53371	NUP54	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
O75665	8481	OFD1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9BTE3	79892	MCMBP	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q70IA6	81532	MOB2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9NRN9	29081	METTL5	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9BVT8	83590	TMUB1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q8NHM5	84678	KDM2B	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q96E16	114926	SMIM19	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q99439	1265	CNN2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9BW72	192286	HIGD2A	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
K7EQS6	NA	-	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q08AF3	162394	SLFN5	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9BSE2	84283	TMEM79	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q8IXI1	89941	RHOT2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q7Z419	255488	RNF144B	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q96HC4	10611	PDLIM5	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
O00267	6829	SUPT5H	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P20645	4074	M6PR	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q8WV48	203260	CCDC107	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9H1I8	84164	ASCC2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q6P499	57185	NIPAL3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9P2T1	51292	GMPR2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9NR12	9260	PDLIM7	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9Y2S7	26073	POLDIP2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9Y238	9940	DLEC1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
A1L0T0	10994	ILVBL	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q8N4S7	124222	PAQR4	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q15744	1053	CEBPE	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
O15130	8620	NPFF	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9ULM2	57474	ZNF490	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q13724	7841	MOGS	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9BXF6	26056	RAB11FIP5	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9H900	55055	ZWILCH	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9BTT6	55227	LRRC1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
O60499	8677	STX10	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
A0A1W2PS45	NA	-	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9BU70	51531	TRMO	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P06703	6277	S100A6	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q7Z340	90233	ZNF551	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q6PJT7	79882	ZC3H14	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
O95835	9113	LATS1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P46976	2992	GYG1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9UHJ6	23729	SHPK	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q96G27	23559	WBP1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P51580	7172	TPMT	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
O75037	23046	KIF21B	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q3KP31	163049	ZNF791	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9BYX2	55357	TBC1D2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
