UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
Q07813	12028	Bax	chromatin immunoprecipitation assay,inferred by curator	27924024,17202159	Mus musculus	GTRD,TRED	Yes
P18572	12215	Bsg	chromatin immunoprecipitation assay,inferred by curator	29087512,27924024,22678117	Mus musculus	GTRD,TRRUST	Yes
P17710	15275	Hk1	inferred by curator	17202159	Mus musculus	TRED	Yes
P19001	16669	Krt19	inferred by curator	17202159	Mus musculus	TRED	Yes
P11276	14268	Fn1	inferred by curator	17202159	Mus musculus	TRED	Yes
P06795	18669	Abcb1b	chromatin immunoprecipitation assay,inferred by curator	27924024,17202159	Mus musculus	GTRD,TRED	Yes
Q91ZX6	75826	Senp2	chromatin immunoprecipitation assay,inferred by curator	27924024,17202159	Mus musculus	GTRD,TRED	Yes
P45481	NA	Crebbp	inferred by curator	20948541,29087512	Mus musculus	TRRUST	Yes
P70444	12122	Bid	inferred by curator	17202159	Mus musculus	TRED	Yes
Q9D6U8	70186	Fam162a	chromatin immunoprecipitation assay,inferred by curator	27924024,29087512,15082785	Mus musculus	GTRD,TRRUST	Yes
Q9R0B9	26432	Plod2	chromatin immunoprecipitation assay,inferred by curator	27924024,17202159	Mus musculus	GTRD,TRED	Yes
Q9D3F7	74747	Ddit4	chromatin immunoprecipitation assay,inferred by curator	27924024,17202159	Mus musculus	GTRD,TRED	Yes
Q9D6Y9	74185	Gbe1	chromatin immunoprecipitation assay,inferred by curator	27924024,17202159	Mus musculus	GTRD,TRED	Yes
Q8C3Q9	12371	Casp9	inferred by curator	17202159	Mus musculus	TRED	Yes
P14901	15368	Hmox1	chromatin immunoprecipitation assay,inferred by curator	17202159,29087512,27924024,23528251	Mus musculus	GTRD,TRED,TRRUST	Yes
P17182	13806,433182	Eno1	chromatin immunoprecipitation assay,inferred by curator	27924024,17202159	Mus musculus	GTRD,TRED	Yes
P39689	12575	Cdkn1a	chromatin immunoprecipitation assay,inferred by curator	27924024,17202159	Mus musculus	GTRD,TRED	Yes
Q9QUS4	15214	Hey2	inferred by curator	17045587,29087512	Mus musculus	TRRUST	Yes
Q91YE3	112405	Egln1	chromatin immunoprecipitation assay,inferred by curator	27924024,17202159	Mus musculus	GTRD,TRED	Yes
P09411	18655	Pgk1	chromatin immunoprecipitation assay,inferred by curator	27924024,17202159	Mus musculus	GTRD,TRED	Yes
P35456	18793	Plaur	inferred by curator	17202159	Mus musculus	TRED	Yes
P17809	20525	Slc2a1	chromatin immunoprecipitation assay,inferred by curator	27924024,17202159	Mus musculus	GTRD,TRED	Yes
Q9EP95	57262	Retnla	inferred by curator	17202159	Mus musculus	TRED	Yes
