UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
P27786	13074	Cyp17a1	inferred by curator	29087512,20530532	Mus musculus	TRRUST	Yes
O35604	18145	Npc1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
O54946	23950	Dnajb6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
A3KGB4	245638	Tbc1d8b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q924Y0	170442	Bbox1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9JKK7	50876	Tmod2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
A0A0R4J1J6	243371	Lrrc61	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P52955	16814	Lbx1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q99MD8	80732	Mynn	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3U0B3	192970	Dhrs11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BHW2	230751	Oscp1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q62315	16468	Jarid2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
G3X9T1	69930	Zfp715	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q99NH0	81702	Ankrd17	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q91ZT5	224014	Fgd4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3UYG1	434778	Ccdc160	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9EQS9	56741	Igdcc4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q6DYE8	209558	Enpp3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3U145	100201	Tmem64	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9JJQ0	55981	Pigb	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9DBE8	56737	Alg2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
A0A0R4J104	13132	Dab2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q99M87	83945	Dnaja3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
G5E880	16970	Lrmp	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
