UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
Q08890	15931	Ids	inferred by curator	20231279,29087512	Mus musculus	TRRUST	Yes
P51943	12428	Ccna2	inferred by curator	29087512,11283272	Mus musculus	TRRUST	Yes
Q8CIA5	58246	Slc35b4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q6A078	216274	Cep290	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q80ZM8	66586	Crls1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q91W53	57437	Golga7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P43352	19365	Rad52	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CXY9	329777	Pigk	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q91WG8	50798	Gne	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q60676	19060	Ppp5c	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q6NSU2	70419	2810408A11Rik	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3V0C5	170707	Usp48	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3USL1	68874	Klhdc9	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9QUK3	26889	Cln8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CWL8	66642	Ctnnbl1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9DAM5	67283	Slc25a19	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9D173	66169	Tomm7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q91WN1	108671	Dnajc9	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CQL7	67568	Mrfap1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P27546	17758	Map4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
O88622	NA	Parg	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
M0QWE2	105734727	Gm27021	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9D8N0	67160	Eef1g	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q5SSH8	192986	Cyb5d2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3U1D0	72635	Lins1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9QYC7	56316	Ggcx	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8R3L8	264064	Cdk8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q6GYP7	56784	Ralgapa1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
F6VKC7	NA	Zfp988	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CPR5	27395	Mrpl15	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
A0A0R4J114	215193	Utp25	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8R507	246179	Fktn	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BWR2	66193	Pithd1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
O35280	12649	Chek1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P14131	20055	Rps16	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CQV7	67713	Dnajc19	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CTH6	73736	Fcf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q80U30	74374	Clec16a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BSQ9	NA	Pbrm1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8CHG5	68497	Arel1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
O70481	22222	Ubr1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P19783	12857	Cox4i1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BJ34	223989	Marf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CWQ0	69740	Dph5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3UKJ7	74255	Smu1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q91X21	77034	Kiaa2013	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
A0A0R4J0S9	320662	Casc1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
A2ADY9	68817	Ddi2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
G3X9A7	239318	Plcxd3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
B9EJR8	433956	Dnaaf5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8C170	270163	Myo9a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q5XJE5	235497	Leo1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q5NCX5	216860	Neurl4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q920I9	104082	Wdr7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CZ91	67222	Srfbp1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q91W39	228869	Ncoa5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3UUU6	NA	A130057D12Rik	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CR48	67171	Dram2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BVP5	103236	Csnk1g2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8CES0	70646	Naa30	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3UFB2	229937	Znhit6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q99LY9	595136	Ndufs5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3U1J1	69714	Tfpt	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q7TSH2	102093	Phkb	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CPW7	66492	Zmat2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CXK9	381626	Rbm33	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8K4F6	100609	Nsun5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BVU5	74167	Nudt9	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8CCE9	13560	E4f1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8VDR7	76355	Tgds	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
O70378	18117	Emc8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BWW9	109333	Pkn2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q921E6	13626	Eed	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
O70194	55944	Eif3d	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q7TMY7	320727	Ipo8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q5SSH7	195018	Zzef1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
A2ACJ2	71885	Faap100	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BGS7	99712	Cept1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9D2Z4	71599	Senp8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CQ21	66405	Mcts2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q6P9Q6	338355	Fkbp15	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BGD9	75705	Eif4b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BHG2	74098	Czib	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BGV4	234138	Tti2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CXU4	53600	Timm23	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
G5E8C4	237500	Tmtc3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
I7HJS2	66826	Taz	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8CI32	70369	Bag5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q7TSQ8	319518	Pdpr	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BG79	244672	Cwf19l2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
A0A0R4J0L8	232236	Ccdc174	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8N7N5	98193	Dcaf8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9D6T1	71924	Tube1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P62897	13063	Cycs	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
