UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
Q8BHG1	230598	Nrdc	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P37237	14179	Fgf8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9JIL5	68842	Tulp4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P50220	21869	Nkx2-1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
E9PUK2	268822	Adck5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
A2ATD1	NA	Ism1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8K0Z9	100129	Gpr153	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BNW9	74901	Kbtbd11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CQB2	68241	Mcrip2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P19096	14104	Fasn	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
O35435	56749	Dhodh	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
O54992	17165	Mapkapk5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q99P81	27405	Abcg3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
B2RUM3	NA	AU015836	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P35428	15205	Hes1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P50431	20425	Shmt1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BVM4	242669	Azin2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q80ZM3	320204	Mettl20	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9DCC7	67441	Isoc2b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3UPR0	330096	Shisa3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q5NBU8	327959	Xaf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BUM3	320139	Ptpn7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8JZV7	245847	Amdhd2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q91YR7	68879	Prpf6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q60823	11652	Akt2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q922I7	19205	Ptbp1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q6PIX9	276852	D11Wsu47e	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P97377	12566	Cdk2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q921I6	98402	Sh3bp4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P35762	12520	Cd81	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q91ZD4	93840	Vangl2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CR26	66201	Vta1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3UR32	228139	P2rx3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q60520	20466	Sin3a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BHF7	74451	Pgs1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
F8VPQ4	259302	Srgap3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
O35242	18201	Nsmaf	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CQ25	72083	Mzt2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P11438	16783	Lamp1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P18761	12353	Ca6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8BGF6	244548	Elmod2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3U2C5	67702	Rnf149	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9Z329	16439	Itpr2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
A2AP18	269615	Plch2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
O35655	237178	Ppef1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9EQC8	94315	Prcc	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P08775	20020	Polr2a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q569Z6	230753	Thrap3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q6PGJ3	16728	L1cam	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P62947	67945	Rpl41	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
O35453	15451	Hpn	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P53811	56305	Pitpnb	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
E9Q9F9	214764	Edrf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
A0A0R4IZW9	20316	Sdf2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q61286	21406	Tcf12	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8C9J3	320277	Spef2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CY73	69163	Mrpl44	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
D3Z3C6	67492	Zfand4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
