UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
P41133	15903	Id3	chromatin immunoprecipitation assay,inferred by curator	20947825,29087512,27924024	Mus musculus	GTRD,TRRUST	Yes
Q9CW03	13006	Smc3	chromatin immunoprecipitation assay,inferred by curator	12651860,29087512,27924024	Mus musculus	GTRD,TRRUST	Yes
Q05769	19225	Ptgs2	inferred by curator	14552705,29087512	Mus musculus	TRRUST	Yes
P01108	17869	Myc	inferred by curator	29087512,19561604,15576399	Mus musculus	TRRUST	Yes
P22387	13614	Edn1	inferred by curator	16291872,29087512	Mus musculus	TRRUST	Yes
P22361	21405	Hnf1a	inferred by curator	29087512,10489374	Mus musculus	TRRUST	Yes
P15379	12505	Cd44	inferred by curator	10027409,29087512	Mus musculus	TRRUST	Yes
O89101	14172	Fgf18	chromatin immunoprecipitation assay,inferred by curator	29087512,27924024,17158875	Mus musculus	GTRD,TRRUST	Yes
P30875	20606	Sstr2	inferred by curator	29087512,10207097	Mus musculus	TRRUST	Yes
P43241	12591	Cdx2	inferred by curator	29087512,18655789	Mus musculus	TRRUST	Yes
P11276	14268	Fn1	inferred by curator	29087512,15578569	Mus musculus	TRRUST	Yes
P18111	12590	Cdx1	inferred by curator	29087512,12446687	Mus musculus	TRRUST	Yes
Q08874	17342	Mitf	inferred by curator	11382753,29087512	Mus musculus	TRRUST	Yes
P62737	11475	Acta2	inferred by curator	29087512,12663487	Mus musculus	TRRUST	Yes
P17095	111241,15361	Hmga1	chromatin immunoprecipitation assay,inferred by curator	22961697,29087512,27924024	Mus musculus	GTRD,TRRUST	Yes
P35456	18793	Plaur	inferred by curator	29087512,14990988	Mus musculus	TRRUST	Yes
Q8R116	77583	Notum	chromatin immunoprecipitation assay,inferred by curator	29087512,27924024,18429952	Mus musculus	GTRD,TRRUST	Yes
P41136	15902	Id2	chromatin immunoprecipitation assay,inferred by curator	29087512,27924024,7589553	Mus musculus	GTRD,TRRUST	Yes
P10085	17927	Myod1	inferred by curator	29087512,18948405	Mus musculus	TRRUST	Yes
P09803	12550	Cdh1	inferred by curator	19295128,29087512	Mus musculus	TRRUST	Yes
O35864	26754	Cops5	inferred by curator	29087512,18593980	Mus musculus	TRRUST	Yes
Q9JMC3	58233	Dnaja4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
A2AQW0	270672	Map3k15	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9DBG5	66905	Plin3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
O35685	18221	Nudc	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q60739	12017	Bag1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q91WG1	72999	Insig2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9JIQ3	66593	Diablo	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9CQD8	11974	Atp6v0e1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8CGC4	241846	Lsm14b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q9D4B1	74442	Sgms2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3UG20	69188	Kmt2e	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q6RUT7	214489	Ccsmst1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8C078	207565	Camkk2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8CJ53	106628	Trip10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q3UPE3	223970	Rmi2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
A0A0R4J0M1	72726	Tbcc	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
J3QPQ6	NA	Gm49403	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P28663	17957	Napb	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q149F1	271842	Rpusd2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q6ZWN5	76846	Rps9	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
Q8K2Q5	66433	Chchd7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
P62876	66491	Polr2l	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No
