UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
Q70Z53	118924	FRA10AC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P04062	2629	GBA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q14656	8269	TMEM187	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9UN79	9580	SOX13	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9UK76	51155	JPT1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q63HK3	342357	ZKSCAN2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O43559	10817	FRS3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9Y5Q8	9328	GTF3C5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q12874	10946	SF3A3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q14692	9790	BMS1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q92973	3842	TNPO1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q6ZUT1	55216	NKAPD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P22670	5989	RFX1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9HAS0	64149	C17orf75	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q14596	4077	NBR1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q00056	3201	HOXA4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8IXX5	92703	TMEM183A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8TCP9	221786	FAM200A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9NUA8	9923	ZBTB40	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9HC38	51031	GLOD4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O00488	51042	ZNF593	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96L73	64324	NSD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q70CQ3	84749	USP30	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q00597	2176	FANCC	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
