UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
A0A0R4ICV5	NA	si:ch211-215j19.12	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q5TZA3	619265	tmem251	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A2R8RSM5	NA	cdk2ap1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1R384	NA	fam210ab	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A8E7E7	NA	itsn1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
E9QDE7	NA	nnt2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q6PE32	393651	grap2b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A0G2L0T1	NA	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q2PRA6	100150823	or125-1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q5XWT8	553052	rasd4	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1RB22	NA	alas1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1QSA2	553532	hsd3b1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q6IMW7	337731	pvalb4	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1QV31	797351	krt5	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
E7F6C3	NA	grhl3	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1Q729	NA	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q9DGB8	58126	runx1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A2R8RKF4	NA	atp9a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1RA35	NA	macf1a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q9PVF8	30741	ctnna1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A0R4IET1	NA	gga3a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A9C464	571755	si:ch211-170d8.2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
B3DLG5	114550	ednraa	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q24JV3	677758	rpl31	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A0R4IDS8	NA	bmper	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1QWV3	NA	igsf9b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A0B5GNT7	NA	bmp16	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A5WWD4	NA	si:dkey-61l1.4	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q6DHM3	436906	cryzl1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1RBE6	NA	tp53bp1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q1LWX2	554876	LOC554876	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
B3DJX4	NA	kcnh6a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q1LU90	566969	meox2b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A1D5NSW6	100533983	eml3	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
B8A579	NA	mfsd2aa	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
H0WEW4	NA	znf994	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1R840	NA	pax4	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A2R8QJ99	403037	fbxo25	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1QX88	562156	si:ch211-51a6.2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1QJS3	541502	ercc5	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A0G2KSN0	NA	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A0R4IZU1	NA	pard3ab	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q6EHI4	393202	hif1ab	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
E7F7I8	NA	nkain4	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A0R4ICB9	NA	cant1b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A5WVY0	NA	rars2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1QNW3	503732	rtel1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1R5S7	30548	foxd3	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1QGB9	561732	cfap58	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1Q6Z9	100334730	ganab	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
B0S514	NA	taok3b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1QIU5	NA	mcamb	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
O57474	30236	gja1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1R982	NA	otx5	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
R4GF23	555871	si:ch211-286b5.2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
B0S523	100004342	osbpl6	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
F1QE52	NA	tert	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A2R8Q394	NA	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A2R8QKV2	NA	paplna	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
E7FBB8	NA	fam20ca	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A0R4IHJ4	NA	apbb2b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A0G2KWS9	NA	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
B8A5N9	NA	noto	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A2R8QIB8	100002919	tafa5a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A193KX02	NA	tomt	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
A0A2R8QHE1	337167	tsc1a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
Q5SNS6	NA	znf292b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No
