UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
Q7Z698	200734	SPRED2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9NUW8	55775	TDP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P49585	5130	PCYT1A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9NSI2	85395	FAM207A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8WVL7	54851	ANKRD49	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8IZ07	88455	ANKRD13A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q16342	5134	PDCD2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9UHB6	51474	LIMA1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q7Z6J9	283989	TSEN54	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q7Z6M1	10244	RABEPK	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q8IZQ5	280636	SELENOH	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8NA42	163087	ZNF383	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O43427	9158	FIBP	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q14331	2483	FRG1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9ULU4	23613	ZMYND8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8NFU5	253430	IPMK	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
O60762	8813	DPM1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9Y2M5	27252	KLHL20	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96SB3	84687	PPP1R9B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9H9H4	79720	VPS37B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
B4DEV8	NA	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P10606	1329	COX5B	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
O14662	8675	STX16	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P62380	9519	TBPL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q92731	2100	ESR2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q00534	1021	CDK6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96M20	140894	CNBD2	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q9H9J2	65080	MRPL44	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q96SB8	79677	SMC6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9H6Y2	54853	WDR55	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q9UPZ3	11234	HPS5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q00653	4791	NFKB2	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q9Y625	10082	GPC6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P07948	4067	LYN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O15504	11097	NUP42	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P52298	22916	NCBP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P46937	10413	YAP1	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
P61927	6167	RPL37	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P60484	5728	PTEN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9BYD6	65008	MRPL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
