UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
M9PDM4	31247	Pi4KIIIalpha	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q0KHU4	31945	RhoU	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VTJ4	3772574	Fuca	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q29R28	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VLF5	34226	Try29F	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VHT5	40980	mRpL1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A9YK37	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q29R50	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W4E2	44531	rg	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q03017	34969	cact	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VXK7	32565	ND-20	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
O46060	NA	EG:171D11.6	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P49415	37447	Sdc	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
F6J7Z1	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W0S2	38050	RhoGEF3	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A9YI35	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W547	31150	mRpL16	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
O76932	45031	Pp4-19C	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9V3Z6	34882	ck	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VMX1	33714	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
D2NUE3	NA	Ptpa-RA	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8MZ00	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
B7Z0C9	7354423	Dmel\CG42307	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
B1PGT0	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VK58	34685	Pih1D1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VPJ0	33166	CT31762	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VRY5	38749	Dmel\CG8549	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VC19	42972	Dmel\CG3744	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A0A126GUY7	26067062	pre-mod(mdg4)-N	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q24168	41703	Orc2	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VBQ7	43081	Dmel\CG5116	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P29052	34430	TfIIB	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VI56	40844	Dmel\CG1943	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7KGU6	50250	dmCG14767	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9W244	37573	px	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
D9PTU9	NA	Osi8-RA	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q6NL56	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
F6J7X8	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q5IF77	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9V9M7	35453	RpL21	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
B3DN71	NA	CG4879-RB	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
P42325	40186	Nca	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q8IQ73	38786	corn	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VID9	35397	BEST:LD19244	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
O97143	40384	SAK	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
X2JF73	32510	HUWE1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
A0A126GV05	26067061	pre-mod(mdg4)-O	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
