UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
P01588	2056	EPO	inferred by curator	29087512,20368990	Homo sapiens	TRRUST	Yes
P38398	672	BRCA1	inferred by curator	21914189,29087512	Homo sapiens	TRRUST	Yes
P04626	2064	ERBB2	chromatin immunoprecipitation assay,inferred by curator	10991938,29087512,27924024	Homo sapiens	GTRD,TRRUST	Yes
P09237	4316	MMP7	inferred by curator	18162290,29087512	Homo sapiens	TRRUST	Yes
P10415	596	BCL2	chromatin immunoprecipitation assay,inferred by curator	22213475,29087512,29126285	Homo sapiens	ReMap,TRRUST	Yes
Q9HBJ0	10761	PLAC1	chromatin immunoprecipitation assay,inferred by curator	24304549,29087512,27924024	Homo sapiens	GTRD,TRRUST	Yes
P11678	8288	EPX	inferred by curator	29087512,20368990	Homo sapiens	TRRUST	Yes
P09238	4319	MMP10	inferred by curator	18162290,29087512	Homo sapiens	TRRUST	Yes
Q15406	2649	NR6A1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9UII4	51191	HERC5	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q8N6D2	221687	RNF182	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q2YD98	57654	UVSSA	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q9NV12	55281	TMEM140	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q5TDH0	84301	DDI2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8N8S7	55740	ENAH	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q8IZF7	222611	ADGRF2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
O15530	5170	PDPK1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q92538	8729	GBF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P98179	5935	RBM3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q8N961	25841	ABTB2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q96QD8	54407	SLC38A2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
O00566	10199	MPHOSPH10	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
O95822	23417	MLYCD	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q14165	9761	MLEC	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9H078	81570	CLPB	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q9H0W7	83591	THAP2	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q3LIE5	56985	ADPRM	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q6MZQ0	79899	PRR5L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9BUE0	54797	MED18	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8WVE0	221143	EEF1AKMT1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q7RTY0	201232	SLC16A13	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q96PD7	84649	DGAT2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q86UK0	26154	ABCA12	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
O95721	9342	SNAP29	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q5MCW4	148266	ZNF569	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q15819	7336	UBE2V2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P04085	5154	PDGFA	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q52M93	92285	ZNF585B	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q8N6S5	151188	ARL6IP6	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
P86397	109703458	HTD2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9XRX5	11147	HHLA3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
O43283	9175	MAP3K13	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q96S66	23155	CLCC1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q7Z3B0	643155	SMIM15	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q3SXM0	285429	DCAF4L1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
