TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Small-scale.evidence	Assembly	Chromosome	Start	End	Strand
TFLinkLT00976622	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	129344	129357	+
TFLinkLT00976623	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	160889	160902	+
TFLinkLT00976624	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	160949	160962	+
TFLinkLT00976625	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	161553	161566	+
TFLinkLT00976626	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	220643	220656	-
TFLinkLT00976627	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	220647	220660	-
TFLinkLT00976628	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	220665	220678	-
TFLinkLT00976629	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	222230	222243	+
TFLinkLT00976630	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	222234	222247	+
TFLinkLT00976631	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	223152	223165	-
TFLinkLT00976632	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	298449	298462	+
TFLinkLT00976633	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	298484	298497	+
TFLinkLT00976634	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	377968	377981	-
TFLinkLT00976635	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	472234	472247	+
TFLinkLT00976636	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	479150	479163	-
TFLinkLT00976637	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	479154	479167	-
TFLinkLT00976638	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	479232	479245	+
TFLinkLT00976639	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	479234	479247	+
TFLinkLT00976640	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	481318	481331	+
TFLinkLT00976641	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	481322	481335	+
TFLinkLT00976642	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	481328	481341	+
TFLinkLT00976643	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	481332	481345	+
TFLinkLT00976644	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	487057	487070	-
TFLinkLT00976645	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	487059	487072	-
TFLinkLT00976646	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	487061	487074	-
TFLinkLT00976647	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	487063	487076	-
TFLinkLT00976648	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	487065	487078	-
TFLinkLT00976649	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	487067	487080	-
TFLinkLT00976650	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	487071	487084	-
TFLinkLT00976651	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	487073	487086	-
TFLinkLT00976652	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	487075	487088	-
TFLinkLT00976653	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	487077	487090	-
TFLinkLT00976654	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	487079	487092	-
TFLinkLT00976655	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	487081	487094	-
TFLinkLT00976656	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	487083	487096	-
TFLinkLT00976657	Q8IGP5	Clamp	Drosophila melanogaster	chromatin immunoprecipitation assay	23873939	jaspar	No	-	chr2L	487085	487098	-
