TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Small-scale.evidence	Assembly	Chromosome	Start	End	Strand
TFLinkLT07802585	Q53XW4	STAT1	Homo sapiens	inferred by curator	17558387	jaspar	Yes	-	-	-	-	-
TFLinkLT07802586	Q53XW4	STAT1	Homo sapiens	inferred by curator	17558387	jaspar	Yes	-	-	-	-	-
TFLinkLT07802587	Q53XW4	STAT1	Homo sapiens	inferred by curator	17558387	jaspar	Yes	-	-	-	-	-
TFLinkLT07802588	Q53XW4	STAT1	Homo sapiens	inferred by curator	17558387	jaspar	Yes	-	-	-	-	-
TFLinkLT07802589	Q53XW4	STAT1	Homo sapiens	inferred by curator	17558387	jaspar	Yes	-	-	-	-	-
TFLinkLT07802590	Q53XW4	STAT1	Homo sapiens	inferred by curator	17558387	jaspar	Yes	-	-	-	-	-
TFLinkLT07802591	Q53XW4	STAT1	Homo sapiens	inferred by curator	17558387	jaspar	Yes	-	-	-	-	-
TFLinkLT07802592	Q53XW4	STAT1	Homo sapiens	inferred by curator	17558387	jaspar	Yes	-	-	-	-	-
TFLinkLT07802593	Q53XW4	STAT1	Homo sapiens	inferred by curator	17558387	jaspar	Yes	-	-	-	-	-
TFLinkLT07802594	Q53XW4	STAT1	Homo sapiens	inferred by curator	17558387	jaspar	Yes	-	-	-	-	-
TFLinkLT07802595	Q53XW4	STAT1	Homo sapiens	inferred by curator	17558387	jaspar	Yes	-	-	-	-	-
TFLinkLT07802596	Q53XW4	STAT1	Homo sapiens	inferred by curator	17558387	jaspar	Yes	-	-	-	-	-
TFLinkLT07802597	Q53XW4	STAT1	Homo sapiens	inferred by curator	17558387	jaspar	Yes	-	-	-	-	-
TFLinkLT07802598	Q53XW4	STAT1	Homo sapiens	inferred by curator	17558387	jaspar	Yes	-	-	-	-	-
TFLinkLT07802599	Q53XW4	STAT1	Homo sapiens	inferred by curator	17558387	jaspar	Yes	-	-	-	-	-
TFLinkLT07802600	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802601	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802602	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802603	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802604	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802605	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802606	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802607	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802608	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802609	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802610	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802611	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802612	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802613	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802614	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802615	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802616	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802617	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802618	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802619	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802620	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802621	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802622	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802623	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802624	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802625	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802626	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802627	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802628	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802629	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802630	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802631	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802632	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802633	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802634	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802635	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802636	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802637	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802638	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802639	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802640	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802641	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802642	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802643	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802644	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802645	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802646	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
TFLinkLT07802647	Q53XW4	STAT1	Homo sapiens	chromatin immunoprecipitation assay	17558387	jaspar	No	-	-	-	-	-
