TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Small-scale.evidence	Assembly	Chromosome	Start	End	Strand
TFLinkLT01153649	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr10	68737204	68737214	-
TFLinkLT01153650	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr8	85856974	85856984	+
TFLinkLT01153651	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr3	55155590	55155600	-
TFLinkLT01153652	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr3	55592705	55592715	+
TFLinkLT01153653	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr3	55592718	55592728	-
TFLinkLT01153654	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr2	153679444	153679454	+
TFLinkLT01153655	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr3	97881974	97881984	+
TFLinkLT01153656	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr3	97882009	97882019	-
TFLinkLT01153657	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr13	108611858	108611868	+
TFLinkLT01153658	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr16	44602427	44602437	+
TFLinkLT01153659	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr16	44602440	44602450	+
TFLinkLT01153660	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr7	148875569	148875579	+
TFLinkLT01153661	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr10	127872326	127872336	-
TFLinkLT01153662	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr18	12855570	12855580	+
TFLinkLT01153663	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr5	99908559	99908569	+
TFLinkLT01153664	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr3	15205819	15205829	-
TFLinkLT01153665	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr7	135012983	135012993	+
TFLinkLT01153666	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr7	135013009	135013019	+
TFLinkLT01153667	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr13	96007646	96007656	-
TFLinkLT01153668	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr5	31126599	31126609	-
TFLinkLT01153669	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr12	5285779	5285789	+
TFLinkLT01153670	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr8	61013601	61013611	+
TFLinkLT01153671	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr9	66823373	66823383	-
TFLinkLT01153672	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr2	72884823	72884833	-
TFLinkLT01153673	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr11	61971126	61971136	+
TFLinkLT01153674	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr14	34277411	34277421	+
TFLinkLT01153675	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr2	178883102	178883112	-
TFLinkLT01153676	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr7	123275953	123275963	-
TFLinkLT01153677	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr13	84528528	84528538	+
TFLinkLT01153678	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr2	120630954	120630964	+
TFLinkLT01153679	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr4	107069716	107069726	-
TFLinkLT01153680	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr10	59091516	59091526	-
TFLinkLT01153681	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr3	129646542	129646552	-
TFLinkLT01153682	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr2	128115388	128115398	-
TFLinkLT01153683	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr4	135789402	135789412	+
TFLinkLT01153684	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr9	67192242	67192252	-
TFLinkLT01153685	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr14	63474910	63474920	+
TFLinkLT01153686	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr4	154858206	154858216	+
TFLinkLT01153687	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr1	78496134	78496144	+
TFLinkLT01153688	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr11	103888151	103888161	+
TFLinkLT01153689	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr5	125528032	125528042	+
TFLinkLT01153690	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr18	14141108	14141118	-
TFLinkLT01153691	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr10	40928891	40928901	-
TFLinkLT01153692	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr14	61719159	61719169	+
TFLinkLT01153693	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr14	61719198	61719208	+
TFLinkLT01153694	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr7	53070871	53070881	-
TFLinkLT01153695	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr7	151297366	151297376	+
TFLinkLT01153696	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr19	11888358	11888368	-
TFLinkLT01153697	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr9	99946960	99946970	+
TFLinkLT01153698	O54751	Crx	Mus musculus	chromatin immunoprecipitation assay	20463752	jaspar	No	mm9	chr9	99946999	99947009	-
