TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Small-scale.evidence	Assembly	Chromosome	Start	End	Strand
TFLinkLT09285205	Q96RI1	NR1H4	Homo sapiens	inferred by curator	18971253	ORegAnno	Yes	hg38	chr5	160229343	160229362	+
TFLinkLT09285232	Q96RI1	NR1H4	Homo sapiens	inferred by curator	18971253	ORegAnno	Yes	hg38	chr1	26914195	26914219	-
TFLinkLT06017539	Q96RI1	NR1H4	Homo sapiens	chromatin immunoprecipitation assay	24498423	jaspar	No	hg38	chr1	7574593	7574603	-
TFLinkLT06017540	Q96RI1	NR1H4	Homo sapiens	chromatin immunoprecipitation assay	24498423	jaspar	No	hg38	chr1	10530501	10530511	-
TFLinkLT06017541	Q96RI1	NR1H4	Homo sapiens	chromatin immunoprecipitation assay	24498423	jaspar	No	hg38	chr1	11649848	11649858	+
TFLinkLT06017542	Q96RI1	NR1H4	Homo sapiens	chromatin immunoprecipitation assay	24498423	jaspar	No	hg38	chr1	12170451	12170461	-
TFLinkLT06017543	Q96RI1	NR1H4	Homo sapiens	chromatin immunoprecipitation assay	24498423	jaspar	No	hg38	chr1	16143840	16143850	+
TFLinkLT06017544	Q96RI1	NR1H4	Homo sapiens	chromatin immunoprecipitation assay	24498423	jaspar	No	hg38	chr1	17527816	17527826	-
TFLinkLT06017545	Q96RI1	NR1H4	Homo sapiens	chromatin immunoprecipitation assay	24498423	jaspar	No	hg38	chr1	18480472	18480482	+
TFLinkLT06017546	Q96RI1	NR1H4	Homo sapiens	chromatin immunoprecipitation assay	24498423	jaspar	No	hg38	chr1	20183897	20183907	+
TFLinkLT06017547	Q96RI1	NR1H4	Homo sapiens	chromatin immunoprecipitation assay	24498423	jaspar	No	hg38	chr1	23479027	23479037	-
TFLinkLT06017548	Q96RI1	NR1H4	Homo sapiens	chromatin immunoprecipitation assay	24498423	jaspar	No	hg38	chr1	26914247	26914257	-
TFLinkLT06017549	Q96RI1	NR1H4	Homo sapiens	chromatin immunoprecipitation assay	24498423	jaspar	No	hg38	chr1	29258950	29258960	-
TFLinkLT06017550	Q96RI1	NR1H4	Homo sapiens	chromatin immunoprecipitation assay	24498423	jaspar	No	hg38	chr1	31368785	31368795	+
TFLinkLT06017551	Q96RI1	NR1H4	Homo sapiens	chromatin immunoprecipitation assay	24498423	jaspar	No	hg38	chr1	31368851	31368861	-
