TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Small-scale.evidence	Assembly	Chromosome	Start	End	Strand
TFLinkLT09023636	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr19	39149122	39149142	-
TFLinkLT09023637	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr20	52105339	52105359	-
TFLinkLT09023638	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr21	43833657	43833677	-
TFLinkLT09023639	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr15	74434076	74434096	+
TFLinkLT09023640	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr16	52191660	52191680	-
TFLinkLT09023641	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr10	114359537	114359557	-
TFLinkLT09023642	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr1	116879272	116879292	+
TFLinkLT09023643	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr21	42595727	42595747	-
TFLinkLT09023644	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	75855668	75855688	-
TFLinkLT09023645	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr19	29634189	29634209	-
TFLinkLT09023646	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr9	83919283	83919303	-
TFLinkLT09023647	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr9	83919309	83919329	-
TFLinkLT09023648	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr12	123835036	123835056	+
TFLinkLT09023649	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr1	145977777	145977797	-
TFLinkLT09023650	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr19	13779986	13780006	-
TFLinkLT09023651	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	27601286	27601306	-
TFLinkLT09023652	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr3	9977144	9977164	-
TFLinkLT09023653	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	34706259	34706279	+
TFLinkLT09023654	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr3	14628596	14628616	+
TFLinkLT09023655	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr5	143284175	143284195	-
TFLinkLT09023656	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	45352028	45352048	-
TFLinkLT09023657	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr21	45981253	45981273	-
TFLinkLT09023658	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr14	99797464	99797484	+
TFLinkLT09023659	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr9	124337758	124337778	+
TFLinkLT09023660	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr10	2075085	2075105	+
TFLinkLT09023661	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr10	2075112	2075132	+
TFLinkLT09023662	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr11	69369442	69369462	+
TFLinkLT09023663	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr16	83891936	83891956	-
TFLinkLT09023664	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr10	116195772	116195792	-
TFLinkLT09023665	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr12	46558121	46558141	+
TFLinkLT09023666	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr1	51941629	51941649	-
TFLinkLT09023667	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr18	48904995	48905015	+
TFLinkLT09023668	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr19	2614801	2614821	+
TFLinkLT09023669	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr4	56705633	56705653	+
TFLinkLT09023670	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr4	2302603	2302623	-
TFLinkLT09023671	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr6	167811205	167811225	-
TFLinkLT09023672	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr7	10973672	10973692	+
TFLinkLT09023673	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr15	77628189	77628209	-
TFLinkLT09023674	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr5	158063250	158063270	+
TFLinkLT09023675	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr9	130964079	130964099	-
TFLinkLT09023676	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr13	27370747	27370767	+
TFLinkLT09023677	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr13	27370773	27370793	+
TFLinkLT09023678	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr13	27370799	27370819	+
TFLinkLT09023679	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr5	158707727	158707747	+
TFLinkLT09023680	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr9	35103171	35103191	-
TFLinkLT09023681	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr19	16998805	16998825	-
TFLinkLT09023682	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	79899766	79899786	-
TFLinkLT09023683	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr10	92559247	92559267	-
TFLinkLT09023684	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr12	124590663	124590683	+
TFLinkLT09023685	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr21	36692175	36692195	+
TFLinkLT09023686	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr20	57587916	57587936	-
TFLinkLT09023687	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr8	140152012	140152032	-
TFLinkLT09023688	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr12	114656991	114657011	+
TFLinkLT09023689	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	42916739	42916759	+
TFLinkLT09023690	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr5	178489745	178489765	-
TFLinkLT09023691	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr9	132205088	132205108	-
TFLinkLT09023692	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr14	90319842	90319862	+
TFLinkLT09023693	P52738	ZNF140	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr16	2200484	2200504	-
