TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Small-scale.evidence	Assembly	Chromosome	Start	End	Strand
TFLinkLT06015001	Q9Z0Y9	Nr1h3::Rxra	Mus musculus	chromatin immunoprecipitation assay	21349840	jaspar	No	mm9	chr8	71478145	71478163	-
TFLinkLT06015003	Q9Z0Y9	Nr1h3::Rxra	Mus musculus	chromatin immunoprecipitation assay	21349840	jaspar	No	mm9	chr16	21762993	21763011	+
TFLinkLT06015005	Q9Z0Y9	Nr1h3::Rxra	Mus musculus	chromatin immunoprecipitation assay	21349840	jaspar	No	mm9	chr1	78654288	78654306	+
TFLinkLT06015007	Q9Z0Y9	Nr1h3::Rxra	Mus musculus	chromatin immunoprecipitation assay	21349840	jaspar	No	mm9	chr17	31210427	31210445	-
TFLinkLT06015009	Q9Z0Y9	Nr1h3::Rxra	Mus musculus	chromatin immunoprecipitation assay	21349840	jaspar	No	mm9	chr17	31210447	31210465	+
TFLinkLT06015011	Q9Z0Y9	Nr1h3::Rxra	Mus musculus	chromatin immunoprecipitation assay	21349840	jaspar	No	mm9	chr19	44322782	44322800	-
TFLinkLT06015013	Q9Z0Y9	Nr1h3::Rxra	Mus musculus	chromatin immunoprecipitation assay	21349840	jaspar	No	mm9	chr19	44322811	44322829	-
TFLinkLT06015015	Q9Z0Y9	Nr1h3::Rxra	Mus musculus	chromatin immunoprecipitation assay	21349840	jaspar	No	mm9	chr5	127016687	127016705	+
TFLinkLT06015017	Q9Z0Y9	Nr1h3::Rxra	Mus musculus	chromatin immunoprecipitation assay	21349840	jaspar	No	mm9	chr8	124993489	124993507	-
TFLinkLT06015019	Q9Z0Y9	Nr1h3::Rxra	Mus musculus	chromatin immunoprecipitation assay	21349840	jaspar	No	mm9	chr11	107882320	107882338	+
TFLinkLT06015021	Q9Z0Y9	Nr1h3::Rxra	Mus musculus	chromatin immunoprecipitation assay	21349840	jaspar	No	mm9	chr14	27936903	27936921	+
TFLinkLT06015023	Q9Z0Y9	Nr1h3::Rxra	Mus musculus	chromatin immunoprecipitation assay	21349840	jaspar	No	mm9	chr15	58081729	58081747	-
TFLinkLT06015025	Q9Z0Y9	Nr1h3::Rxra	Mus musculus	chromatin immunoprecipitation assay	21349840	jaspar	No	mm9	chr4	53172816	53172834	-
TFLinkLT06015027	Q9Z0Y9	Nr1h3::Rxra	Mus musculus	chromatin immunoprecipitation assay	21349840	jaspar	No	mm9	chr5	139446781	139446799	-
TFLinkLT06015029	Q9Z0Y9	Nr1h3::Rxra	Mus musculus	chromatin immunoprecipitation assay	21349840	jaspar	No	mm9	chr5	139446802	139446820	-
TFLinkLT06015031	Q9Z0Y9	Nr1h3::Rxra	Mus musculus	chromatin immunoprecipitation assay	21349840	jaspar	No	mm9	chr7	73945809	73945827	+
