TFLink ID,Uniprot ID,Protein name,Organism,Detection method,Publication,Source database,Assembly,Chr,Start,End,Strand
TFLinkLT0000001,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000002,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000003,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000004,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000005,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000006,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000007,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000008,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000009,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000010,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000011,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000012,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000013,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000014,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000015,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000016,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000017,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000018,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000019,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000020,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000021,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000022,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000023,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000024,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000025,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000026,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000027,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000028,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000029,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000030,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000031,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000032,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000033,Q01295,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000034,Q24206,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000035,Q24206,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000036,Q24206,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000037,Q24206,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000038,Q24206,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000039,Q24206,br,Drosophila melanogaster,inferred by curator,8062827,jaspar,,,,,
TFLinkLT0000903,P05084,hb,Drosophila melanogaster,inferred by curator,2507923,jaspar,,,,,
TFLinkLT0000904,P05084,hb,Drosophila melanogaster,inferred by curator,2507923,jaspar,,,,,
TFLinkLT0000905,P05084,hb,Drosophila melanogaster,inferred by curator,2507923,jaspar,,,,,
TFLinkLT0000906,P05084,hb,Drosophila melanogaster,inferred by curator,2507923,jaspar,,,,,
TFLinkLT0000907,P05084,hb,Drosophila melanogaster,inferred by curator,2507923,jaspar,,,,,
TFLinkLT0000908,P05084,hb,Drosophila melanogaster,inferred by curator,2507923,jaspar,,,,,
TFLinkLT0000909,P05084,hb,Drosophila melanogaster,inferred by curator,2507923,jaspar,,,,,
TFLinkLT0000910,P05084,hb,Drosophila melanogaster,inferred by curator,2507923,jaspar,,,,,
