TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Small-scale.evidence	Assembly	Chromosome	Start	End	Strand
TFLinkLT09013168	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	931423	931436	-
TFLinkLT09013169	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	931459	931472	+
TFLinkLT09013170	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	1853080	1853093	-
TFLinkLT09013171	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	3059752	3059765	+
TFLinkLT09013172	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	3323374	3323387	-
TFLinkLT09013173	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	3991982	3991995	+
TFLinkLT09013174	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	3992003	3992016	+
TFLinkLT09013175	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	3992014	3992027	+
TFLinkLT09013176	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	3992030	3992043	+
TFLinkLT09013177	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	3992046	3992059	+
TFLinkLT09013178	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	3992399	3992412	+
TFLinkLT09013179	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	3992416	3992429	+
TFLinkLT09013180	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	3992432	3992445	+
TFLinkLT09013181	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	3992448	3992461	+
TFLinkLT09013182	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	3992464	3992477	+
TFLinkLT09013183	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	5714183	5714196	+
TFLinkLT09013184	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	5980586	5980599	+
TFLinkLT09013185	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	6011842	6011855	+
TFLinkLT09013186	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	6012743	6012756	+
TFLinkLT09013187	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	6012805	6012818	+
TFLinkLT09013188	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	6312021	6312034	-
TFLinkLT09013189	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	6312061	6312074	+
TFLinkLT09013190	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	6614291	6614304	-
TFLinkLT09013191	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	6614302	6614315	-
TFLinkLT09013192	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	8421992	8422005	+
TFLinkLT09013193	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	8422018	8422031	+
TFLinkLT09013194	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	8460067	8460080	-
TFLinkLT09013195	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	8829864	8829877	-
TFLinkLT09013196	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	8829872	8829885	-
TFLinkLT09013197	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	8829882	8829895	-
TFLinkLT09013198	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	8878805	8878818	-
TFLinkLT09013199	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	9909527	9909540	+
TFLinkLT09013200	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	10369091	10369104	-
TFLinkLT09013201	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	10495286	10495299	+
TFLinkLT09013202	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	11336113	11336126	-
TFLinkLT09013203	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	12512945	12512958	+
TFLinkLT09013204	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	15620528	15620541	-
TFLinkLT09013205	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	15866134	15866147	-
TFLinkLT09013206	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	15901710	15901723	+
TFLinkLT09013207	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	16206770	16206783	-
TFLinkLT09013208	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	17018598	17018611	-
TFLinkLT09013209	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	17233296	17233309	+
TFLinkLT09013210	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	17485524	17485537	+
TFLinkLT09013211	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	17522122	17522135	+
TFLinkLT09013212	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	17831801	17831814	-
TFLinkLT09013213	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	19006062	19006075	-
TFLinkLT09013214	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	19363815	19363828	-
TFLinkLT09013215	Q9Y2L8	ZKSCAN5	Homo sapiens	chromatin immunoprecipitation assay	23354101	jaspar	No	hg38	chr1	19472568	19472581	+
