TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Small-scale.evidence	Assembly	Chromosome	Start	End	Strand
TFLinkLT08542231	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr4	84092340	84092359	-
TFLinkLT08542232	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr11	4485655	4485674	+
TFLinkLT08542233	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr12	19584954	19584973	-
TFLinkLT08542234	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr4	125834840	125834859	-
TFLinkLT08542235	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr15	49918035	49918054	-
TFLinkLT08542236	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr1	87640595	87640614	-
TFLinkLT08542237	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr21	30776420	30776439	+
TFLinkLT08542238	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr8	31030141	31030160	+
TFLinkLT08542239	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr9	4788897	4788916	-
TFLinkLT08542240	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr1	239869984	239870003	+
TFLinkLT08542241	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr1	239870028	239870047	+
TFLinkLT08542242	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr12	48996149	48996168	+
TFLinkLT08542243	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr21	18980201	18980220	-
TFLinkLT08542244	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr3	178787976	178787995	-
TFLinkLT08542245	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr6	2469870	2469889	-
TFLinkLT08542246	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr6	2469904	2469923	-
TFLinkLT08542247	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chrX	33178579	33178598	+
TFLinkLT08542248	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chrX	33178607	33178626	-
TFLinkLT08542249	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chrX	93655726	93655745	+
TFLinkLT08542250	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr12	61437812	61437831	+
TFLinkLT08542251	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr2	154261880	154261899	+
TFLinkLT08542252	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr11	119623176	119623195	+
TFLinkLT08542253	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr18	71360559	71360578	+
TFLinkLT08542254	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr13	40814522	40814541	-
TFLinkLT08542255	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr6	151178483	151178502	-
TFLinkLT08542256	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr1	179008352	179008371	-
TFLinkLT08542257	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr1	235838532	235838551	+
TFLinkLT08542258	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr11	61526082	61526101	+
TFLinkLT08542259	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr11	61526125	61526144	+
TFLinkLT08542260	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr11	94798699	94798718	+
TFLinkLT08542261	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr14	32814701	32814720	-
TFLinkLT08542262	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr16	78025750	78025769	+
TFLinkLT08542263	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr17	37203129	37203148	+
TFLinkLT08542264	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr18	44448415	44448434	+
TFLinkLT08542265	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr18	45888408	45888427	-
TFLinkLT08542266	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr2	88496184	88496203	+
TFLinkLT08542267	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr2	88496242	88496261	+
TFLinkLT08542268	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr5	40568888	40568907	+
TFLinkLT08542269	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr22	38708431	38708450	-
TFLinkLT08542270	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr7	45285681	45285700	+
TFLinkLT08542271	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr7	45285720	45285739	+
TFLinkLT08542272	Q9H3D4	TP63	Homo sapiens	chromatin immunoprecipitation assay	17188034	jaspar	No	hg19	chr1	110802628	110802647	-
