TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Small-scale.evidence	Assembly	Chromosome	Start	End	Strand
TFLinkLT09285032	Q9UQR1	ZNF148	Homo sapiens	inferred by curator	25295465	ORegAnno	Yes	hg38	chr10	88583341	88583356	-
TFLinkLT09025521	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	921237	921248	-
TFLinkLT09025522	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	940243	940254	-
TFLinkLT09025523	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	940287	940298	+
TFLinkLT09025524	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	940290	940301	+
TFLinkLT09025525	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	941982	941993	-
TFLinkLT09025526	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	942058	942069	-
TFLinkLT09025527	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	943153	943164	+
TFLinkLT09025528	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	984257	984268	-
TFLinkLT09025529	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	1005149	1005160	+
TFLinkLT09025530	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	1019783	1019794	-
TFLinkLT09025531	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	1019789	1019800	-
TFLinkLT09025532	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	1059380	1059391	+
TFLinkLT09025533	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	1059385	1059396	+
TFLinkLT09025534	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	1059409	1059420	+
TFLinkLT09025535	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	1064402	1064413	-
TFLinkLT09025536	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	1064408	1064419	-
TFLinkLT09025537	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	1064458	1064469	+
TFLinkLT09025538	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	1069414	1069425	+
TFLinkLT09025539	Q9UQR1	ZNF148	Homo sapiens	chromatin immunoprecipitation assay	15635072	jaspar	No	hg38	chr1	1157614	1157625	-
