TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Small-scale.evidence	Assembly	Chromosome	Start	End	Strand
TFLinkLT09249264	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr6	158232214	158232229	-
TFLinkLT09249265	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr16	31117260	31117275	-
TFLinkLT09249266	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr7	139340130	139340145	+
TFLinkLT09249267	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr22	42090071	42090086	-
TFLinkLT09249268	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr5	150450151	150450166	-
TFLinkLT09249269	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr14	49853863	49853878	+
TFLinkLT09249270	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	58519760	58519775	+
TFLinkLT09249271	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr1	231335130	231335145	-
TFLinkLT09249272	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr9	94669728	94669743	+
TFLinkLT09249273	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr22	36482440	36482455	+
TFLinkLT09249274	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr6	28837996	28838011	-
TFLinkLT09249275	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr8	143635550	143635565	-
TFLinkLT09249276	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr8	143635582	143635597	-
TFLinkLT09249277	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr12	55829335	55829350	-
TFLinkLT09249278	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr14	20342825	20342840	+
TFLinkLT09249279	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr3	128651130	128651145	+
TFLinkLT09249280	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr3	128651162	128651177	+
TFLinkLT09249281	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr3	128651172	128651187	-
TFLinkLT09249282	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr12	54188514	54188529	-
TFLinkLT09249283	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr2	28894370	28894385	+
TFLinkLT09249284	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr4	88456574	88456589	+
TFLinkLT09249285	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr1	235505637	235505652	+
TFLinkLT09249286	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr9	122913587	122913602	+
TFLinkLT09249287	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr9	122913619	122913634	+
TFLinkLT09249288	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	59209628	59209643	+
TFLinkLT09249289	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	59209660	59209675	+
TFLinkLT09249290	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	19507108	19507123	-
TFLinkLT09249291	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	19507117	19507132	-
TFLinkLT09249292	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	19507149	19507164	-
TFLinkLT09249293	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr11	62841207	62841222	-
TFLinkLT09249294	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr5	69502089	69502104	-
TFLinkLT09249295	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr19	46346190	46346205	-
TFLinkLT09249296	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	41866128	41866143	+
TFLinkLT09249297	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	41866160	41866175	+
TFLinkLT09249298	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr14	57269921	57269936	+
TFLinkLT09249299	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr10	97446830	97446845	+
TFLinkLT09249300	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr5	140719323	140719338	-
TFLinkLT09249301	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	39461023	39461038	-
TFLinkLT09249302	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr1	150321183	150321198	-
TFLinkLT09249303	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr7	99472039	99472054	+
TFLinkLT09249304	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr7	99472071	99472086	+
TFLinkLT09249305	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	16536605	16536620	-
TFLinkLT09249306	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	16536637	16536652	-
TFLinkLT09249307	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	16387293	16387308	-
TFLinkLT09249308	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr7	148942029	148942044	+
TFLinkLT09249309	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr7	148942069	148942084	-
TFLinkLT09249310	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr19	49479307	49479322	+
TFLinkLT09249311	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr3	130747361	130747376	+
TFLinkLT09249312	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr3	130747393	130747408	+
TFLinkLT09249313	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr1	156337298	156337313	-
TFLinkLT09249314	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	17237935	17237950	+
TFLinkLT09249315	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	76556930	76556945	-
TFLinkLT09249316	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	76556962	76556977	-
TFLinkLT09249317	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr6	116277792	116277807	-
TFLinkLT09249318	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr14	49586616	49586631	-
TFLinkLT09249319	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr14	21511750	21511765	+
TFLinkLT09249320	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chrX	154457589	154457604	-
TFLinkLT09249321	Q14592	ZNF460	Homo sapiens	chromatin immunoprecipitation assay	28473536	jaspar	No	hg38	chr17	63772366	63772381	+
