TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Small-scale.evidence	Assembly	Chromosome	Start	End	Strand
TFLinkLT01331922	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331923	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331924	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331925	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331926	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331927	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331928	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331929	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331930	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331931	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331932	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331933	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331934	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331935	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331936	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331937	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331938	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331939	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331940	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331941	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331942	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331943	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
TFLinkLT01331944	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	Yes	-	-	-	-	-
