TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Small-scale.evidence	Assembly	Chromosome	Start	End	Strand
TFLinkLT03142903	O75593	FOXH1	Homo sapiens	chromatin immunoprecipitation assay	9702198	jaspar	No	hg19	chr1	208454115	208454125	-
TFLinkLT03142904	O75593	FOXH1	Homo sapiens	chromatin immunoprecipitation assay	9702198	jaspar	No	hg19	chr13	40690197	40690207	+
TFLinkLT03142905	O75593	FOXH1	Homo sapiens	chromatin immunoprecipitation assay	9702198	jaspar	No	hg19	chr2	107707827	107707837	+
TFLinkLT03142906	O75593	FOXH1	Homo sapiens	chromatin immunoprecipitation assay	9702198	jaspar	No	hg19	chr4	95357231	95357241	-
TFLinkLT03142907	O75593	FOXH1	Homo sapiens	chromatin immunoprecipitation assay	9702198	jaspar	No	hg19	chr14	82027881	82027891	-
TFLinkLT03142908	O75593	FOXH1	Homo sapiens	chromatin immunoprecipitation assay	9702198	jaspar	No	hg19	chr19	38761595	38761605	-
TFLinkLT03142909	O75593	FOXH1	Homo sapiens	chromatin immunoprecipitation assay	9702198	jaspar	No	hg19	chr1	226087246	226087256	+
TFLinkLT03142910	O75593	FOXH1	Homo sapiens	chromatin immunoprecipitation assay	9702198	jaspar	No	hg19	chr10	128252165	128252175	+
TFLinkLT03142911	O75593	FOXH1	Homo sapiens	chromatin immunoprecipitation assay	9702198	jaspar	No	hg19	chr8	134431297	134431307	-
TFLinkLT03142912	O75593	FOXH1	Homo sapiens	chromatin immunoprecipitation assay	9702198	jaspar	No	hg19	chr18	58785899	58785909	+
TFLinkLT03142913	O75593	FOXH1	Homo sapiens	chromatin immunoprecipitation assay	9702198	jaspar	No	hg19	chr18	58785916	58785926	-
TFLinkLT03142914	O75593	FOXH1	Homo sapiens	chromatin immunoprecipitation assay	9702198	jaspar	No	hg19	chr12	3822840	3822850	+
TFLinkLT03142915	O75593	FOXH1	Homo sapiens	chromatin immunoprecipitation assay	9702198	jaspar	No	hg19	chr10	18940612	18940622	+
TFLinkLT03142916	O75593	FOXH1	Homo sapiens	chromatin immunoprecipitation assay	9702198	jaspar	No	hg19	chr14	98912197	98912207	+
TFLinkLT03142917	O75593	FOXH1	Homo sapiens	chromatin immunoprecipitation assay	9702198	jaspar	No	hg19	chr8	141286673	141286683	+
TFLinkLT03142918	O75593	FOXH1	Homo sapiens	chromatin immunoprecipitation assay	9702198	jaspar	No	hg19	chr8	141286710	141286720	+
TFLinkLT03142919	O75593	FOXH1	Homo sapiens	chromatin immunoprecipitation assay	9702198	jaspar	No	hg19	chr12	12075262	12075272	+
