TFLink ID,Uniprot ID,Protein name,Organism,Detection method,Publication,Source database,Assembly,Chr,Start,End,Strand
TFLinkLT0000075,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000076,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000077,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000078,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000079,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000080,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000081,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000082,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000083,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000084,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000085,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000086,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000087,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000088,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000089,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000090,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000091,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000092,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000093,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000094,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000095,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000096,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000097,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000098,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000099,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000100,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000101,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000102,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000103,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000104,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000105,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000106,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000107,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000108,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000109,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000110,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000111,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000112,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000113,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000114,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000115,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
TFLinkLT0000116,P32182,Foxa2,Rattus norvegicus,inferred by curator,8139574,jaspar,,,,,
