TFLink ID,Uniprot ID,Protein name,Organism,Detection method,Publication,Source database,Assembly,Chr,Start,End,Strand
TFLinkLT0000040,Q02650,Pax5,Mus musculus,inferred by curator,8406007,jaspar,,,,,
TFLinkLT0000041,Q02650,Pax5,Mus musculus,inferred by curator,8406007,jaspar,,,,,
TFLinkLT0000042,Q02650,Pax5,Mus musculus,inferred by curator,8406007,jaspar,,,,,
TFLinkLT0000043,Q02650,Pax5,Mus musculus,inferred by curator,8406007,jaspar,,,,,
TFLinkLT0000044,Q02650,Pax5,Mus musculus,inferred by curator,8406007,jaspar,,,,,
TFLinkLT0000045,Q02650,Pax5,Mus musculus,inferred by curator,8406007,jaspar,,,,,
TFLinkLT0000046,Q02650,Pax5,Mus musculus,inferred by curator,8406007,jaspar,,,,,
TFLinkLT0000047,Q02650,Pax5,Mus musculus,inferred by curator,8406007,jaspar,,,,,
TFLinkLT0000048,Q02650,Pax5,Mus musculus,inferred by curator,8406007,jaspar,,,,,
TFLinkLT0000049,Q02650,Pax5,Mus musculus,inferred by curator,8406007,jaspar,,,,,
TFLinkLT0000050,Q02650,Pax5,Mus musculus,inferred by curator,8406007,jaspar,,,,,
TFLinkLT0000051,Q02650,Pax5,Mus musculus,inferred by curator,8406007,jaspar,,,,,
TFLinkLT0004962,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004963,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004964,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004965,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004966,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004967,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004968,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004969,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004970,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004971,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004972,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004973,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004974,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004975,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004976,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004977,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004978,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004979,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004980,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004981,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004982,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004983,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004984,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004985,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0004986,Q07802,Ebf1,Mus musculus,inferred by curator,17916232,jaspar,,,,,
TFLinkLT0005034,P08046,Egr1,Mus musculus,one hybrid,16041365,jaspar,,,,,
TFLinkLT0005035,P08046,Egr1,Mus musculus,one hybrid,16041365,jaspar,,,,,
TFLinkLT0005036,P08046,Egr1,Mus musculus,one hybrid,16041365,jaspar,,,,,
TFLinkLT0005037,P08046,Egr1,Mus musculus,one hybrid,16041365,jaspar,,,,,
TFLinkLT0005038,P08046,Egr1,Mus musculus,one hybrid,16041365,jaspar,,,,,
TFLinkLT0005039,P08046,Egr1,Mus musculus,one hybrid,16041365,jaspar,,,,,
TFLinkLT0005040,P08046,Egr1,Mus musculus,one hybrid,16041365,jaspar,,,,,
TFLinkLT0005041,P08046,Egr1,Mus musculus,one hybrid,16041365,jaspar,,,,,
TFLinkLT0005042,P08046,Egr1,Mus musculus,one hybrid,16041365,jaspar,,,,,
TFLinkLT0005043,P08046,Egr1,Mus musculus,one hybrid,16041365,jaspar,,,,,
TFLinkLT0005044,P08046,Egr1,Mus musculus,one hybrid,16041365,jaspar,,,,,
TFLinkLT0005045,P08046,Egr1,Mus musculus,one hybrid,16041365,jaspar,,,,,
TFLinkLT0005046,P08046,Egr1,Mus musculus,one hybrid,16041365,jaspar,,,,,
TFLinkLT0005047,P08046,Egr1,Mus musculus,one hybrid,16041365,jaspar,,,,,
TFLinkLT0005048,P08046,Egr1,Mus musculus,one hybrid,16041365,jaspar,,,,,
TFLinkLT0046204,O89090,Sp1,Mus musculus,inferred by curator,2123467,ORegAnno,mm10,chr2,114052877,114052894,-
TFLinkLT0046205,P22361,Hnf1a,Mus musculus,inferred by curator,15933209,ORegAnno,mm10,chr5,90460852,90460872,+
TFLinkLT0046206,Q9JLC6,Tef,Mus musculus,inferred by curator,15933209,ORegAnno,mm10,chr14,54966805,54966817,-
TFLinkLT0046207,Q9JM73,Srf,Mus musculus,inferred by curator,15933209,ORegAnno,mm10,chr8,123894837,123894850,-
TFLinkLT0046208,Q9JLC6,Tef,Mus musculus,inferred by curator,15933209,ORegAnno,mm10,chr8,123894811,123894824,-
TFLinkLT0046209,Q9Z2U4,Elf4,Mus musculus,inferred by curator,15933209,ORegAnno,mm10,chr1,134289938,134289951,+
TFLinkLT0046210,Q9JM73,Srf,Mus musculus,inferred by curator,15933209,ORegAnno,mm10,chr7,19409857,19409870,+
TFLinkLT0046211,Q9DBY8,Nvl,Mus musculus,inferred by curator,15933209,ORegAnno,mm10,chr7,19409883,19409896,+
TFLinkLT0046212,Q9Z2U4,Elf4,Mus musculus,inferred by curator,15933209,ORegAnno,mm10,chr7,19409899,19409912,+
TFLinkLT0046213,Q9Z2U4,Elf4,Mus musculus,inferred by curator,15933209,ORegAnno,mm10,chr7,19410015,19410028,+
TFLinkLT0046214,P28033,Cebpb,Mus musculus,inferred by curator,15809228,ORegAnno,mm10,chr12,25096158,25096166,-
TFLinkLT0046215,Q9JLC6,Tef,Mus musculus,inferred by curator,15933209,ORegAnno,mm10,chr11,69795948,69795961,-
TFLinkLT0046216,P22361,Hnf1a,Mus musculus,inferred by curator,15933209,ORegAnno,mm10,chr18,20665278,20665306,+
TFLinkLT0046217,O89090,Sp1,Mus musculus,inferred by curator,7829523,ORegAnno,mm10,chr5,137288203,137288209,+
TFLinkLT0046218,P12979,Myog,Mus musculus,inferred by curator,1847137,ORegAnno,mm10,chr7,19409936,19409957,+
TFLinkLT0046219,P10085,Myod1,Mus musculus,inferred by curator,1847137,ORegAnno,mm10,chr7,19409936,19409957,+
TFLinkLT0046220,P24699,Myf5,Mus musculus,inferred by curator,1847137,ORegAnno,mm10,chr7,19409936,19409957,+
TFLinkLT0046221,P12979,Myog,Mus musculus,inferred by curator,1324403,ORegAnno,mm10,chr1,134289992,134289997,+
TFLinkLT0046222,P63013,Prrx1,Mus musculus,inferred by curator,1360403,ORegAnno,mm10,chr7,19409899,19409909,+
TFLinkLT0046223,P30051,Tead1,Mus musculus,inferred by curator,7814403,ORegAnno,mm10,chr8,123894814,123894821,-
TFLinkLT0046224,P12979,Myog,Mus musculus,inferred by curator,7852366,ORegAnno,mm10,chr10,107494771,107494776,-
TFLinkLT0046225,P12979,Myog,Mus musculus,inferred by curator,7852366,ORegAnno,mm10,chr10,107495079,107495084,-
TFLinkLT0046226,P24699,Myf5,Mus musculus,inferred by curator,7852366,ORegAnno,mm10,chr10,107494771,107494776,-
TFLinkLT0046227,P24699,Myf5,Mus musculus,inferred by curator,7852366,ORegAnno,mm10,chr10,107495079,107495084,-
TFLinkLT0046228,P10085,Myod1,Mus musculus,inferred by curator,7852366,ORegAnno,mm10,chr10,107495079,107495084,-
TFLinkLT0046229,P10085,Myod1,Mus musculus,inferred by curator,7852366,ORegAnno,mm10,chr10,107494771,107494776,-
TFLinkLT0046230,Q8CFN5,Mef2c,Mus musculus,inferred by curator,8062833,ORegAnno,mm10,chr1,75359468,75359477,+
TFLinkLT0046231,Q9JM73,Srf,Mus musculus,inferred by curator,8782063,ORegAnno,mm10,chr14,54966628,54966638,-
TFLinkLT0046232,P12979,Myog,Mus musculus,inferred by curator,2163343,ORegAnno,mm10,chr7,19409935,19409957,+
TFLinkLT0046233,O89090,Sp1,Mus musculus,inferred by curator,7829523,ORegAnno,mm10,chr5,137288210,137288215,+
TFLinkLT0046234,P08046,Egr1,Mus musculus,inferred by curator,7829523,ORegAnno,mm10,chr5,137288206,137288212,+
TFLinkLT0046235,P08046,Egr1,Mus musculus,inferred by curator,7829523,ORegAnno,mm10,chr5,137288229,137288237,+
TFLinkLT0046236,P10085,Myod1,Mus musculus,inferred by curator,2377600,ORegAnno,mm10,chr7,19409906,19409930,+
TFLinkLT0046237,P10085,Myod1,Mus musculus,inferred by curator,2377600,ORegAnno,mm10,chr7,19409933,19409954,+
TFLinkLT0046238,O89090,Sp1,Mus musculus,inferred by curator,7829523,ORegAnno,mm10,chr5,137288223,137288228,+
TFLinkLT0046239,P10085,Myod1,Mus musculus,inferred by curator,2550138,ORegAnno,mm10,chr7,19409941,19409949,+
TFLinkLT0046240,P10085,Myod1,Mus musculus,inferred by curator,2550138,ORegAnno,mm10,chr7,19409915,19409924,+
TFLinkLT0046241,P04117,Fabp4,Mus musculus,inferred by curator,8474439,ORegAnno,mm10,chr7,19409875,19409884,+
TFLinkLT0046242,Q08369,Gata4,Mus musculus,inferred by curator,7935467,ORegAnno,mm10,chr14,31208194,31208203,+
TFLinkLT0046243,Q9JM73,Srf,Mus musculus,inferred by curator,18971253,ORegAnno,mm10,chr8,123894972,123894980,-
TFLinkLT0046244,Q9JM73,Srf,Mus musculus,inferred by curator,18971253,ORegAnno,mm10,chr8,123894922,123894930,-
TFLinkLT0046245,Q9JM73,Srf,Mus musculus,inferred by curator,18971253,ORegAnno,mm10,chr8,123894840,123894848,-
TFLinkLT0046246,O89090,Sp1,Mus musculus,inferred by curator,18971253,ORegAnno,mm10,chr8,123894803,123894814,-
TFLinkLT0046247,P29037,Tbp,Mus musculus,inferred by curator,18971253,ORegAnno,mm10,chr8,123894778,123894782,-
TFLinkLT0046248,Q60929,Mef2a,Mus musculus,inferred by curator,18971253,ORegAnno,mm10,chr14,54966893,54966905,-
TFLinkLT0046249,P10126,Eef1a1,Mus musculus,inferred by curator,18971253,ORegAnno,mm10,chr14,54966806,54966817,-
TFLinkLT0046250,Q61069,Usf1,Mus musculus,inferred by curator,18971253,ORegAnno,mm10,chr7,35119021,35119025,+
TFLinkLT0046251,P08046,Egr1,Mus musculus,inferred by curator,18971253,ORegAnno,mm10,chr7,35119030,35119037,+
TFLinkLT0046252,P34056,Tfap2a,Mus musculus,inferred by curator,18971253,ORegAnno,mm10,chr7,35119045,35119055,+
TFLinkLT0046253,P29037,Tbp,Mus musculus,inferred by curator,18971253,ORegAnno,mm10,chr7,35119263,35119268,+
