TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Small-scale.evidence	Assembly	Chromosome	Start	End	Strand
TFLinkLT01667507	Q9NZC4	EHF	Homo sapiens	chromatin immunoprecipitation assay	20378718	jaspar	No	hg19	chr1	1098361	1098368	+
TFLinkLT01667508	Q9NZC4	EHF	Homo sapiens	chromatin immunoprecipitation assay	20378718	jaspar	No	hg19	chr1	2479264	2479271	-
TFLinkLT01667509	Q9NZC4	EHF	Homo sapiens	chromatin immunoprecipitation assay	20378718	jaspar	No	hg19	chr1	2507480	2507487	+
TFLinkLT01667510	Q9NZC4	EHF	Homo sapiens	chromatin immunoprecipitation assay	20378718	jaspar	No	hg19	chr1	8484867	8484874	-
TFLinkLT01667511	Q9NZC4	EHF	Homo sapiens	chromatin immunoprecipitation assay	20378718	jaspar	No	hg19	chr1	8772907	8772914	-
TFLinkLT01667512	Q9NZC4	EHF	Homo sapiens	chromatin immunoprecipitation assay	20378718	jaspar	No	hg19	chr1	8772933	8772940	-
TFLinkLT01667513	Q9NZC4	EHF	Homo sapiens	chromatin immunoprecipitation assay	20378718	jaspar	No	hg19	chr1	8883022	8883029	+
TFLinkLT01667514	Q9NZC4	EHF	Homo sapiens	chromatin immunoprecipitation assay	20378718	jaspar	No	hg19	chr1	11796328	11796335	-
TFLinkLT01667515	Q9NZC4	EHF	Homo sapiens	chromatin immunoprecipitation assay	20378718	jaspar	No	hg19	chr1	11796364	11796371	-
TFLinkLT01667516	Q9NZC4	EHF	Homo sapiens	chromatin immunoprecipitation assay	20378718	jaspar	No	hg19	chr1	15556352	15556359	+
TFLinkLT01667517	Q9NZC4	EHF	Homo sapiens	chromatin immunoprecipitation assay	20378718	jaspar	No	hg19	chr1	16107398	16107405	-
TFLinkLT01667518	Q9NZC4	EHF	Homo sapiens	chromatin immunoprecipitation assay	20378718	jaspar	No	hg19	chr1	17402276	17402283	-
TFLinkLT01667519	Q9NZC4	EHF	Homo sapiens	chromatin immunoprecipitation assay	20378718	jaspar	No	hg19	chr1	21348987	21348994	+
TFLinkLT01667520	Q9NZC4	EHF	Homo sapiens	chromatin immunoprecipitation assay	20378718	jaspar	No	hg19	chr1	22661842	22661849	+
TFLinkLT01667521	Q9NZC4	EHF	Homo sapiens	chromatin immunoprecipitation assay	20378718	jaspar	No	hg19	chr1	24444995	24445002	-
