TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Small-scale.evidence	Assembly	Chromosome	Start	End	Strand
TFLinkLT08251459	Q15562	TEAD2	Homo sapiens	chromatin immunoprecipitation assay	9571041	jaspar	No	hg38	chr1	6052815	6052827	+
TFLinkLT08251460	Q15562	TEAD2	Homo sapiens	chromatin immunoprecipitation assay	9571041	jaspar	No	hg38	chr1	6604025	6604037	+
TFLinkLT08251461	Q15562	TEAD2	Homo sapiens	chromatin immunoprecipitation assay	9571041	jaspar	No	hg38	chr1	8123194	8123206	-
TFLinkLT08251462	Q15562	TEAD2	Homo sapiens	chromatin immunoprecipitation assay	9571041	jaspar	No	hg38	chr1	8626657	8626669	+
TFLinkLT08251463	Q15562	TEAD2	Homo sapiens	chromatin immunoprecipitation assay	9571041	jaspar	No	hg38	chr1	9300273	9300285	+
TFLinkLT08251464	Q15562	TEAD2	Homo sapiens	chromatin immunoprecipitation assay	9571041	jaspar	No	hg38	chr1	10649112	10649124	+
TFLinkLT08251465	Q15562	TEAD2	Homo sapiens	chromatin immunoprecipitation assay	9571041	jaspar	No	hg38	chr1	12433832	12433844	-
TFLinkLT08251466	Q15562	TEAD2	Homo sapiens	chromatin immunoprecipitation assay	9571041	jaspar	No	hg38	chr1	16048916	16048928	+
TFLinkLT08251467	Q15562	TEAD2	Homo sapiens	chromatin immunoprecipitation assay	9571041	jaspar	No	hg38	chr1	16248845	16248857	+
TFLinkLT08251468	Q15562	TEAD2	Homo sapiens	chromatin immunoprecipitation assay	9571041	jaspar	No	hg38	chr1	21368694	21368706	-
TFLinkLT08251469	Q15562	TEAD2	Homo sapiens	chromatin immunoprecipitation assay	9571041	jaspar	No	hg38	chr1	23718629	23718641	+
TFLinkLT08251470	Q15562	TEAD2	Homo sapiens	chromatin immunoprecipitation assay	9571041	jaspar	No	hg38	chr1	25695170	25695182	+
TFLinkLT08251471	Q15562	TEAD2	Homo sapiens	chromatin immunoprecipitation assay	9571041	jaspar	No	hg38	chr1	26408755	26408767	+
TFLinkLT08251472	Q15562	TEAD2	Homo sapiens	chromatin immunoprecipitation assay	9571041	jaspar	No	hg38	chr1	31944417	31944429	-
